Gene Symbol	Gene ID	P-Value (Survival os)
MYH15	ENSG00000144821.9	5.07e-7
USP30-AS1	ENSG00000256262.1	3.29e-6
AFAP1L2	ENSG00000169129.14	4.79e-6
C6orf183	ENSG00000243587.6	4.85e-6
TNNT3	ENSG00000130595.16	5.37e-6
C10orf128	ENSG00000204161.13	5.92e-6
ROBO3	ENSG00000154134.14	7.51e-6
TCF15	ENSG00000125878.5	1.09e-5
ADAMTS7P4	ENSG00000218052.5	1.27e-5
CD52	ENSG00000169442.8	1.49e-5
NUP210	ENSG00000132182.11	2.32e-5
LDLRAP1	ENSG00000157978.11	2.93e-5
DOCK1	ENSG00000150760.12	3.12e-5
SYTL4	ENSG00000102362.15	3.17e-5
IL2RA	ENSG00000134460.15	4.00e-5
PARP3	ENSG00000041880.14	4.01e-5
MAEL	ENSG00000143194.12	5.00e-5
TREML2	ENSG00000112195.8	5.64e-5
AL672296.1	ENSG00000229663.1	6.01e-5
CA13	ENSG00000185015.7	6.54e-5
CLCN5	ENSG00000171365.15	6.62e-5
RPL7L1P9	ENSG00000231035.1	6.63e-5
GUSBP5	ENSG00000236296.7	6.77e-5
RTP5	ENSG00000188011.5	7.52e-5
CYB561	ENSG00000008283.15	7.64e-5
HIVEP3	ENSG00000127124.13	8.25e-5
ARHGAP9	ENSG00000123329.17	8.99e-5
PSMB8	ENSG00000204264.8	8.99e-5
SH3GLB2	ENSG00000148341.17	1.03e-4
CAPZB	ENSG00000077549.17	1.10e-4
LINC00152	ENSG00000222041.10	1.13e-4
C9orf142	ENSG00000148362.10	1.15e-4
SCHIP1	ENSG00000151967.18	1.27e-4
RHOF	ENSG00000139725.7	1.29e-4
AC022182.3	ENSG00000254802.1	1.31e-4
RP11-498C9.2	ENSG00000262831.1	1.33e-4
RP11-527L4.5	ENSG00000282199.1	1.40e-4
RP11-423E7.1	ENSG00000237483.1	1.43e-4
AP000473.8	ENSG00000270093.1	1.48e-4
KCNQ1OT1_1	ENSG00000275666.1	1.57e-4
PEX11B	ENSG00000131779.10	1.58e-4
HEXIM1	ENSG00000186834.3	1.75e-4
OR2A20P	ENSG00000170356.8	1.84e-4
KRT17P8	ENSG00000256937.1	1.85e-4
TDH	ENSG00000154316.14	1.89e-4
ST13P19	ENSG00000228110.4	1.96e-4
RP11-134G8.5	ENSG00000223396.2	2.01e-4
CDCP1	ENSG00000163814.7	2.02e-4
CD300A	ENSG00000167851.13	2.05e-4
FBXW4	ENSG00000107829.13	2.06e-4
RHOBTB2	ENSG00000008853.16	2.10e-4
ERICH3	ENSG00000178965.13	2.11e-4
RP11-517C16.2	ENSG00000261286.1	2.18e-4
FLJ31356	ENSG00000229951.5	2.19e-4
INHBE	ENSG00000139269.2	2.24e-4
RP11-496I9.1	ENSG00000254815.5	2.25e-4
RP11-22L13.1	ENSG00000272235.1	2.29e-4
RP11-13P5.1	ENSG00000224478.1	2.35e-4
EGFEM1P	ENSG00000206120.11	2.35e-4
UBL7	ENSG00000138629.15	2.42e-4
LINC00987	ENSG00000237248.4	2.50e-4
AF129408.17	ENSG00000272991.1	2.50e-4
DNAJC8	ENSG00000126698.10	2.60e-4
RP11-159D12.3	ENSG00000280233.1	2.60e-4
FREM3	ENSG00000183090.5	2.60e-4
RASEF	ENSG00000165105.9	2.60e-4
RP11-385F7.1	ENSG00000270761.1	2.61e-4
ARHGEF35	ENSG00000213214.4	2.74e-4
BTN1A1	ENSG00000124557.12	2.81e-4
HTR7	ENSG00000148680.15	2.84e-4
HOPX	ENSG00000171476.21	2.84e-4
AREG	ENSG00000109321.10	2.89e-4
LRRC16A	ENSG00000079691.16	2.94e-4
GAS6	ENSG00000183087.14	3.05e-4
ATP6V0E2	ENSG00000171130.17	3.19e-4
RP11-370B6.1	ENSG00000231787.4	3.21e-4
MTX1P1	ENSG00000236675.1	3.21e-4
KIR2DL4	ENSG00000189013.14	3.22e-4
RHPN1-AS1	ENSG00000254389.3	3.22e-4
LINC00982	ENSG00000177133.10	3.24e-4
ST6GALNAC4	ENSG00000136840.18	3.31e-4
SPATA9	ENSG00000145757.15	3.60e-4
MMP7	ENSG00000137673.8	3.64e-4
AC005932.1	ENSG00000269019.1	3.65e-4
AC009237.8	ENSG00000229689.3	3.86e-4
PKN1	ENSG00000123143.12	3.89e-4
RP1-202O8.3	ENSG00000271746.1	3.89e-4
VWA5A	ENSG00000110002.15	4.05e-4
MICU3	ENSG00000155970.11	4.15e-4
TBX1	ENSG00000184058.12	4.17e-4
ATP13A2	ENSG00000159363.17	4.27e-4
ZFYVE19	ENSG00000166140.17	4.30e-4
ATP2B3	ENSG00000067842.17	4.37e-4
PTP4A3	ENSG00000184489.11	4.60e-4
BEX2	ENSG00000133134.11	4.76e-4
LRBA	ENSG00000198589.10	4.77e-4
RP5-1027G4.3	ENSG00000179447.2	4.88e-4
GBP1P1	ENSG00000225492.6	4.93e-4
SDHA	ENSG00000073578.16	4.95e-4
DCSTAMP	ENSG00000164935.6	5.07e-4
KCNMB1	ENSG00000145936.8	5.11e-4
CCND3	ENSG00000112576.12	5.20e-4
PRDM16	ENSG00000142611.16	5.34e-4
RP4-718D20.3	ENSG00000232675.7	5.38e-4
PLA2G4A	ENSG00000116711.9	5.39e-4
RPP30	ENSG00000148688.13	5.49e-4
SYK	ENSG00000165025.14	5.49e-4
HCP5	ENSG00000206337.10	5.55e-4
CCL22	ENSG00000102962.4	5.55e-4
BFSP1	ENSG00000125864.11	5.68e-4
SFXN1	ENSG00000164466.12	6.03e-4
CKLF	ENSG00000217555.12	6.05e-4
SRC	ENSG00000197122.11	6.20e-4
SENCR	ENSG00000254703.2	6.35e-4
OPTN	ENSG00000123240.16	6.47e-4
MRPL16	ENSG00000166902.4	6.50e-4
KRI1	ENSG00000129347.19	6.53e-4
RP11-505K9.5	ENSG00000274677.1	6.73e-4
GTF3C5	ENSG00000148308.17	6.75e-4
TAPBPL	ENSG00000139192.11	6.76e-4
CA3	ENSG00000164879.6	6.79e-4
CPT1B	ENSG00000205560.12	6.83e-4
FAM215A	ENSG00000267496.4	7.15e-4
RP11-655M14.13	ENSG00000255318.1	7.16e-4
CHAF1B	ENSG00000159259.7	7.39e-4
ENPP5	ENSG00000112796.9	7.46e-4
RASL10B	ENSG00000270885.1	7.51e-4
SIK1	ENSG00000142178.7	7.55e-4
SLC39A11	ENSG00000133195.11	7.59e-4
LINC01480	ENSG00000270164.1	7.61e-4
PEF1	ENSG00000162517.12	7.66e-4
FNDC3B	ENSG00000075420.12	7.71e-4
APOA1BP	ENSG00000163382.11	7.75e-4
ARHGEF5	ENSG00000050327.14	7.75e-4
RP11-386J22.3	ENSG00000274421.1	7.77e-4
CTAGE8	ENSG00000244693.1	7.80e-4
SLC7A11	ENSG00000151012.13	7.85e-4
RP11-159D12.2	ENSG00000264112.1	8.06e-4
MFHAS1	ENSG00000147324.10	8.20e-4
HCLS1	ENSG00000180353.10	8.23e-4
ANKEF1	ENSG00000132623.15	8.24e-4
RP11-483I13.5	ENSG00000260879.1	8.29e-4
LPCAT3	ENSG00000111684.10	8.54e-4
RP11-16E12.2	ENSG00000259772.6	8.57e-4
MESP2	ENSG00000188095.4	8.57e-4
TUBG2	ENSG00000037042.8	8.87e-4
CCDC175	ENSG00000151838.11	9.03e-4
FAM120AOS	ENSG00000188938.15	9.25e-4
RP11-597D13.7	ENSG00000251429.1	9.30e-4
RP11-89N17.1	ENSG00000173862.3	9.48e-4
MRPL46	ENSG00000259494.1	9.51e-4
DANCR	ENSG00000226950.6	9.59e-4
KIR2DL1	ENSG00000125498.19	9.76e-4
MCM2	ENSG00000073111.13	9.85e-4
FERMT3	ENSG00000149781.12	1.02e-3
IQCJ-SCHIP1	ENSG00000250588.6	1.03e-3
RP11-66B24.4	ENSG00000259583.2	1.03e-3
CCDC167	ENSG00000198937.8	1.04e-3
SYP	ENSG00000102003.10	1.07e-3
PTPN1	ENSG00000196396.9	1.08e-3
FAM207BP	ENSG00000228797.2	1.09e-3
SIPA1	ENSG00000213445.8	1.12e-3
CALCRL	ENSG00000064989.12	1.12e-3
HCG4	ENSG00000176998.4	1.13e-3
IL10	ENSG00000136634.5	1.13e-3
ERCC1	ENSG00000012061.15	1.16e-3
ZBTB38	ENSG00000177311.10	1.16e-3
ZNF337-AS1	ENSG00000213742.6	1.18e-3
CMC2	ENSG00000103121.8	1.18e-3
SNRNP40	ENSG00000060688.12	1.19e-3
RP11-203J24.9	ENSG00000257524.5	1.20e-3
LMNTD2	ENSG00000185522.8	1.22e-3
NIPA1	ENSG00000170113.15	1.23e-3
BMI1	ENSG00000168283.13	1.23e-3
CDCA4	ENSG00000170779.10	1.23e-3
GRAP	ENSG00000154016.13	1.24e-3
MMAA	ENSG00000151611.13	1.25e-3
TIMM10	ENSG00000134809.8	1.25e-3
KLRG1	ENSG00000139187.9	1.26e-3
RP11-524D16__A.3	ENSG00000261295.1	1.26e-3
PARP10	ENSG00000178685.13	1.27e-3
CIART	ENSG00000159208.15	1.28e-3
STEAP3-AS1	ENSG00000229867.1	1.28e-3
GINS3	ENSG00000181938.13	1.29e-3
RP11-452D2.2	ENSG00000234042.1	1.30e-3
SDHAP3	ENSG00000185986.11	1.30e-3
RP11-79P5.9	ENSG00000272525.1	1.31e-3
GH1	ENSG00000259384.6	1.31e-3
MAP4K1	ENSG00000104814.12	1.34e-3
HIRIP3	ENSG00000149929.15	1.34e-3
UST	ENSG00000111962.7	1.37e-3
RP11-18B3.3	ENSG00000228366.1	1.39e-3
FNDC7	ENSG00000143107.8	1.39e-3
SPAG6	ENSG00000077327.15	1.40e-3
SCAMP2	ENSG00000140497.16	1.41e-3
CFAP58-AS1	ENSG00000231233.1	1.42e-3
CRYGD	ENSG00000118231.4	1.42e-3
RP11-349H17.2	ENSG00000275805.1	1.43e-3
ARHGEF34P	ENSG00000204959.4	1.45e-3
DIRC3	ENSG00000231672.6	1.45e-3
OR56B2P	ENSG00000181017.4	1.46e-3
FAM179A	ENSG00000189350.12	1.48e-3
RP11-301G19.1	ENSG00000227706.3	1.48e-3
SNHG12	ENSG00000197989.13	1.49e-3
HTR1F	ENSG00000179097.5	1.50e-3
NCALD	ENSG00000104490.17	1.50e-3
SLC48A1	ENSG00000211584.13	1.51e-3
CYTH4	ENSG00000100055.20	1.53e-3
SLC12A8	ENSG00000221955.10	1.53e-3
MTCH1	ENSG00000137409.18	1.55e-3
FEN1	ENSG00000168496.3	1.56e-3
KANK4	ENSG00000132854.18	1.57e-3
RP11-132G19.3	ENSG00000231978.2	1.57e-3
PEA15	ENSG00000162734.12	1.58e-3
ZFP90	ENSG00000184939.15	1.60e-3
AP000569.9	ENSG00000273102.1	1.61e-3
PRR33	ENSG00000184682.5	1.62e-3
WDR74	ENSG00000133316.15	1.64e-3
RP11-780M14.1	ENSG00000250345.2	1.64e-3
DEF6	ENSG00000023892.10	1.64e-3
DNAJC4	ENSG00000110011.13	1.68e-3
CMTM5	ENSG00000166091.19	1.68e-3
MMD	ENSG00000108960.7	1.69e-3
RP11-223P11.3	ENSG00000223528.7	1.70e-3
UBE2Q1	ENSG00000160714.9	1.71e-3
CCDC102A	ENSG00000135736.5	1.71e-3
RP11-225B17.2	ENSG00000273014.1	1.72e-3
OAS3	ENSG00000111331.12	1.72e-3
COMMD7	ENSG00000149600.11	1.75e-3
LINC01122	ENSG00000233723.7	1.75e-3
RGS14	ENSG00000169220.17	1.75e-3
GSPT2	ENSG00000189369.8	1.79e-3
APOBEC3C	ENSG00000244509.3	1.80e-3
AP003774.1	ENSG00000236935.1	1.81e-3
KCNE2	ENSG00000159197.3	1.81e-3
DNTTIP1	ENSG00000101457.12	1.83e-3
IFITM4P	ENSG00000235821.1	1.84e-3
RP11-186B7.7	ENSG00000276384.1	1.85e-3
ST6GALNAC6	ENSG00000160408.14	1.89e-3
RNF144B	ENSG00000137393.9	1.92e-3
RP11-102M11.1	ENSG00000240695.1	1.96e-3
RP11-93B14.6	ENSG00000167046.4	1.97e-3
BCAN	ENSG00000132692.18	1.97e-3
RP11-7F17.5	ENSG00000246548.3	1.98e-3
MYLK	ENSG00000065534.18	1.98e-3
CMTM1	ENSG00000089505.17	1.99e-3
CDK11A	ENSG00000008128.22	1.99e-3
RSPO2	ENSG00000147655.10	1.99e-3
C18orf54	ENSG00000166845.13	2.00e-3
VASH1	ENSG00000071246.10	2.01e-3
DPY19L1P2	ENSG00000231952.3	2.02e-3
LAP3	ENSG00000002549.12	2.03e-3
ACOT7	ENSG00000097021.19	2.03e-3
RP3-414A15.12	ENSG00000279026.1	2.03e-3
CTA-339C12.1	ENSG00000259294.1	2.04e-3
GAPDHP39	ENSG00000239207.2	2.05e-3
MAP9	ENSG00000164114.18	2.06e-3
NCR3	ENSG00000204475.9	2.09e-3
SLC50A1	ENSG00000169241.17	2.12e-3
RP11-234B24.6	ENSG00000255639.2	2.12e-3
AIFM2	ENSG00000042286.14	2.13e-3
CCDC113	ENSG00000103021.9	2.13e-3
SVIP	ENSG00000198168.8	2.13e-3
AC016735.2	ENSG00000231826.5	2.15e-3
GCLM	ENSG00000023909.9	2.18e-3
OLFML2A	ENSG00000185585.19	2.19e-3
RP11-91I20.4	ENSG00000255321.1	2.19e-3
HLX	ENSG00000136630.12	2.19e-3
C17orf67	ENSG00000214226.8	2.19e-3
LINC01106	ENSG00000175772.10	2.20e-3
RP11-54H7.4	ENSG00000275216.1	2.22e-3
RP11-248J23.6	ENSG00000269948.5	2.25e-3
RPP25	ENSG00000178718.6	2.26e-3
SASH3	ENSG00000122122.9	2.28e-3
MYCBP	ENSG00000214114.8	2.29e-3
HIST2H2BD	ENSG00000220323.3	2.29e-3
CTD-3010D24.3	ENSG00000263893.2	2.29e-3
CTD-2562J15.4	ENSG00000267033.1	2.29e-3
UNC93B1	ENSG00000110057.7	2.32e-3
TTC23L	ENSG00000205838.12	2.35e-3
PRRT4	ENSG00000224940.8	2.38e-3
TM4SF19-AS1	ENSG00000235897.1	2.39e-3
LYRM9	ENSG00000232859.9	2.43e-3
CTA-833B7.2	ENSG00000183822.3	2.43e-3
WDFY4	ENSG00000128815.17	2.46e-3
FOXN3-AS1	ENSG00000258920.1	2.46e-3
MYOM1	ENSG00000101605.12	2.46e-3
SLC24A3	ENSG00000185052.11	2.47e-3
RP11-89H19.1	ENSG00000205537.2	2.50e-3
SEMA4D	ENSG00000187764.11	2.50e-3
TRMT11	ENSG00000066651.17	2.51e-3
ENOX1	ENSG00000120658.12	2.55e-3
PDLIM2	ENSG00000120913.23	2.57e-3
LSP1	ENSG00000130592.13	2.58e-3
FTH1P7	ENSG00000232187.1	2.59e-3
SERPINE3	ENSG00000253309.6	2.62e-3
SH3TC1	ENSG00000125089.16	2.62e-3
RP11-97N19.2	ENSG00000235996.1	2.62e-3
TFEB	ENSG00000112561.17	2.63e-3
CKLF-CMTM1	ENSG00000254788.6	2.63e-3
RP11-568J23.4	ENSG00000269898.1	2.64e-3
CSTB	ENSG00000160213.5	2.65e-3
APOBEC3G	ENSG00000239713.7	2.65e-3
SERPINI1	ENSG00000163536.12	2.67e-3
BATF3	ENSG00000123685.8	2.74e-3
RAB3A	ENSG00000105649.9	2.77e-3
FAM46A	ENSG00000112773.15	2.77e-3
CLIC6	ENSG00000159212.12	2.80e-3
PDCD2L	ENSG00000126249.7	2.81e-3
AP001631.9	ENSG00000236663.1	2.81e-3
P4HB	ENSG00000185624.14	2.83e-3
CTD-2540L5.6	ENSG00000245466.1	2.84e-3
NABP2	ENSG00000139579.12	2.88e-3
ID1	ENSG00000125968.8	2.89e-3
ZNF385A	ENSG00000161642.17	2.90e-3
ELOF1	ENSG00000130165.10	2.91e-3
PSMB10	ENSG00000205220.11	2.93e-3
MMACHC	ENSG00000132763.14	2.93e-3
PPIAL4G	ENSG00000236334.2	2.97e-3
APOBEC3D	ENSG00000243811.7	2.98e-3
SRP14-AS1	ENSG00000248508.6	2.99e-3
TMEM109	ENSG00000110108.9	2.99e-3
CD79B	ENSG00000007312.12	3.00e-3
WASF2	ENSG00000158195.10	3.00e-3
PRR7	ENSG00000131188.11	3.00e-3
ARF3	ENSG00000134287.9	3.01e-3
DENND6B	ENSG00000205593.11	3.01e-3
ZNF214	ENSG00000149050.9	3.01e-3
MAN1C1	ENSG00000117643.14	3.02e-3
SMPDL3B	ENSG00000130768.14	3.03e-3
ZNF296	ENSG00000170684.8	3.04e-3
RP11-330H6.6	ENSG00000280003.1	3.07e-3
MLF1	ENSG00000178053.17	3.07e-3
CYP2U1	ENSG00000155016.17	3.08e-3
CMTR1	ENSG00000137200.12	3.08e-3
RP11-673E1.1	ENSG00000251600.5	3.08e-3
GIF	ENSG00000134812.7	3.10e-3
CBWD2	ENSG00000136682.14	3.12e-3
NEXN	ENSG00000162614.18	3.13e-3
AC079922.3	ENSG00000237753.1	3.13e-3
ADGRG5	ENSG00000159618.15	3.14e-3
TTC22	ENSG00000006555.10	3.14e-3
PDE4DIP	ENSG00000178104.19	3.15e-3
DPM2	ENSG00000136908.17	3.17e-3
UROD	ENSG00000126088.12	3.19e-3
ATPAF1	ENSG00000123472.12	3.22e-3
DNAJA3	ENSG00000103423.13	3.25e-3
LYST	ENSG00000143669.13	3.25e-3
PSMB8-AS1	ENSG00000204261.8	3.26e-3
DAXX	ENSG00000204209.10	3.27e-3
RP11-556I13.2	ENSG00000268170.2	3.28e-3
BCL2A1	ENSG00000140379.7	3.28e-3
LRRC1	ENSG00000137269.14	3.32e-3
RP11-302F12.5	ENSG00000248654.1	3.34e-3
TINF2	ENSG00000092330.15	3.36e-3
GDAP1	ENSG00000104381.12	3.37e-3
SLC25A45	ENSG00000162241.12	3.38e-3
RHOBTB3	ENSG00000164292.12	3.39e-3
INPP4B	ENSG00000109452.12	3.39e-3
RP11-171G2.1	ENSG00000264196.1	3.41e-3
RN7SL153P	ENSG00000244748.3	3.41e-3
MRPL49	ENSG00000149792.8	3.46e-3
POU5F2	ENSG00000248483.5	3.47e-3
FARP2	ENSG00000006607.13	3.48e-3
RP11-327E2.5	ENSG00000279406.1	3.50e-3
LINC00370	ENSG00000223617.1	3.51e-3
RARRES3	ENSG00000133321.10	3.55e-3
RP11-314A20.2	ENSG00000244184.1	3.57e-3
RP11-596D21.1	ENSG00000257831.1	3.62e-3
PUSL1	ENSG00000169972.11	3.62e-3
TRIM44	ENSG00000166326.6	3.63e-3
HOXB-AS3	ENSG00000233101.10	3.68e-3
DDIT4	ENSG00000168209.4	3.68e-3
ECHS1	ENSG00000127884.4	3.69e-3
EXOC3L4	ENSG00000205436.7	3.73e-3
AC096574.5	ENSG00000227107.1	3.75e-3
LINC00899	ENSG00000231711.2	3.75e-3
MRPS21	ENSG00000266472.5	3.80e-3
NUDT19P5	ENSG00000251073.1	3.83e-3
KCNE5	ENSG00000176076.7	3.85e-3
MINA	ENSG00000170854.17	3.85e-3
CD37	ENSG00000104894.11	3.92e-3
STRA13	ENSG00000169689.14	3.94e-3
UBE2D3P3	ENSG00000224690.2	3.95e-3
RP11-1223D19.1	ENSG00000261760.6	3.95e-3
LRRC27	ENSG00000148814.17	3.96e-3
RP11-430C7.4	ENSG00000240710.1	3.97e-3
SPINK2	ENSG00000128040.10	4.02e-3
RP11-83N9.6	ENSG00000275329.1	4.03e-3
GALNT12	ENSG00000119514.6	4.04e-3
GOLGA6L7P	ENSG00000261649.5	4.06e-3
TMEM106C	ENSG00000134291.11	4.07e-3
ESPL1	ENSG00000135476.11	4.08e-3
RP11-473M20.16	ENSG00000261889.1	4.09e-3
RP11-650L12.4	ENSG00000279373.1	4.10e-3
FGFBP2	ENSG00000137441.7	4.11e-3
SSBP4	ENSG00000130511.15	4.13e-3
AC013429.5	ENSG00000234995.1	4.14e-3
ZMIZ1-AS1	ENSG00000224596.7	4.14e-3
TMEM200A	ENSG00000164484.11	4.15e-3
CSTF2	ENSG00000101811.13	4.16e-3
AL122127.25	ENSG00000244620.1	4.17e-3
IGF2BP3	ENSG00000136231.13	4.20e-3
RAB32	ENSG00000118508.4	4.21e-3
SDCCAG3	ENSG00000165689.16	4.21e-3
EWSR1	ENSG00000182944.17	4.21e-3
LINC00399	ENSG00000229792.1	4.22e-3
ADHFE1	ENSG00000147576.15	4.22e-3
AC005307.3	ENSG00000267243.5	4.24e-3
RBM11	ENSG00000185272.13	4.25e-3
PPP2R4	ENSG00000119383.19	4.26e-3
RHOC	ENSG00000155366.16	4.28e-3
SLCO4A1	ENSG00000101187.15	4.28e-3
MED20	ENSG00000124641.14	4.28e-3
HINT2	ENSG00000137133.10	4.29e-3
ASB13	ENSG00000196372.12	4.29e-3
CALHM2	ENSG00000138172.10	4.31e-3
PRSS2	ENSG00000275896.4	4.31e-3
PDLIM7	ENSG00000196923.13	4.31e-3
BATF	ENSG00000156127.6	4.33e-3
RP11-119K6.6	ENSG00000244332.1	4.34e-3
GBP6	ENSG00000183347.14	4.34e-3
ATPIF1	ENSG00000130770.17	4.35e-3
ROPN1L	ENSG00000145491.11	4.36e-3
NAA40	ENSG00000110583.12	4.36e-3
RFC5	ENSG00000111445.13	4.37e-3
PLEKHA6	ENSG00000143850.12	4.40e-3
RP11-188D8.1	ENSG00000271427.1	4.40e-3
TRIM9	ENSG00000100505.13	4.41e-3
RP11-38L15.3	ENSG00000231187.2	4.41e-3
SEPSECS-AS1	ENSG00000281501.1	4.42e-3
GLTP	ENSG00000139433.9	4.42e-3
HIGD1A	ENSG00000181061.13	4.44e-3
SRP14	ENSG00000140319.10	4.45e-3
SOCS1	ENSG00000185338.4	4.45e-3
TEX261	ENSG00000144043.11	4.46e-3
CLEC5A	ENSG00000258227.6	4.46e-3
TK2	ENSG00000166548.15	4.48e-3
LY6G6D	ENSG00000244355.7	4.53e-3
ZNF511	ENSG00000198546.14	4.54e-3
HCG4B	ENSG00000227262.3	4.54e-3
HSPD1P11	ENSG00000251348.1	4.56e-3
CDC25B	ENSG00000101224.17	4.57e-3
C16orf59	ENSG00000162062.14	4.58e-3
CLIP4	ENSG00000115295.19	4.63e-3
RP4-758J18.13	ENSG00000272455.1	4.64e-3
TPD52	ENSG00000076554.15	4.64e-3
ZNF34	ENSG00000196378.11	4.65e-3
NDUFA8	ENSG00000119421.6	4.66e-3
ULBP3	ENSG00000131019.10	4.67e-3
RP11-169D4.2	ENSG00000256633.1	4.69e-3
INTS3	ENSG00000143624.13	4.69e-3
AOC4P	ENSG00000260105.6	4.70e-3
RNF8	ENSG00000112130.16	4.70e-3
RSC1A1	ENSG00000215695.1	4.70e-3
CTB-181H17.1	ENSG00000272219.1	4.71e-3
BCL9	ENSG00000116128.9	4.72e-3
ACSF3	ENSG00000176715.15	4.73e-3
FAM53B	ENSG00000189319.13	4.73e-3
VAV1	ENSG00000141968.7	4.75e-3
SH3BGRL3	ENSG00000142669.13	4.75e-3
CMTM4	ENSG00000183723.12	4.77e-3
C6orf223	ENSG00000181577.15	4.77e-3
PRCC	ENSG00000143294.14	4.78e-3
RP11-193J6.1	ENSG00000279839.1	4.78e-3
SNHG25	ENSG00000266402.3	4.78e-3
CTD-2265O21.7	ENSG00000267735.1	4.79e-3
DDX11	ENSG00000013573.16	4.81e-3
PLCB4	ENSG00000101333.16	4.82e-3
C1orf159	ENSG00000131591.17	4.82e-3
SEPT7P6	ENSG00000241007.1	4.84e-3
PODXL2	ENSG00000114631.10	4.84e-3
PHLDB3	ENSG00000176531.10	4.84e-3
RP11-31F15.2	ENSG00000238198.1	4.84e-3
