Gene Symbol	Gene ID	P-Value (Survival os)
HILPDA	ENSG00000135245.9	7.60e-9
CCDC58	ENSG00000160124.9	5.58e-8
B3GAT3	ENSG00000149541.9	2.30e-7
CLEC3B	ENSG00000163815.5	2.43e-7
CTB-147N14.6	ENSG00000275719.1	2.55e-7
SOCS2	ENSG00000120833.13	9.17e-7
LPCAT1	ENSG00000153395.9	1.25e-6
PES1	ENSG00000100029.17	1.79e-6
DNASE1L3	ENSG00000163687.13	1.87e-6
AHSA1	ENSG00000100591.7	1.92e-6
RP11-286H15.1	ENSG00000272789.1	2.25e-6
SAC3D1	ENSG00000168061.13	2.34e-6
SEC61G	ENSG00000132432.13	2.93e-6
RP11-295D4.1	ENSG00000262712.1	2.97e-6
RHPN1-AS1	ENSG00000254389.3	3.65e-6
MTCH1	ENSG00000137409.18	3.69e-6
PTTG1	ENSG00000164611.12	3.79e-6
SAMD13	ENSG00000203943.8	3.88e-6
CDC20	ENSG00000117399.13	4.00e-6
RPUSD3	ENSG00000156990.14	4.24e-6
SLC41A3	ENSG00000114544.15	4.36e-6
STEAP1B	ENSG00000105889.14	5.18e-6
CCDC137	ENSG00000185298.12	5.63e-6
MED19	ENSG00000156603.14	6.11e-6
SNRPEP2	ENSG00000256968.1	6.86e-6
LINC01134	ENSG00000236423.5	6.98e-6
NRAV	ENSG00000248008.2	7.04e-6
TMEM185B	ENSG00000226479.3	7.08e-6
HM13	ENSG00000101294.16	7.14e-6
NAP1L1P1	ENSG00000254759.1	7.58e-6
CELSR3	ENSG00000008300.14	7.68e-6
GNL2	ENSG00000134697.12	8.47e-6
EIF2S2	ENSG00000125977.6	9.41e-6
GPSM2	ENSG00000121957.12	9.64e-6
TIMM23	ENSG00000265354.3	9.85e-6
PPM1G	ENSG00000115241.10	9.89e-6
BTNL9	ENSG00000165810.16	1.00e-5
SLC29A3	ENSG00000198246.7	1.01e-5
KIF2C	ENSG00000142945.12	1.08e-5
MPV17	ENSG00000115204.14	1.10e-5
SCML2	ENSG00000102098.17	1.22e-5
TMEM251	ENSG00000153485.5	1.22e-5
MUTYH	ENSG00000132781.17	1.30e-5
EIF2B5	ENSG00000145191.11	1.34e-5
LRRC41	ENSG00000132128.16	1.41e-5
ATP1B3	ENSG00000069849.10	1.42e-5
UQCRH	ENSG00000173660.11	1.43e-5
RAB42	ENSG00000188060.6	1.43e-5
DTYMK	ENSG00000168393.12	1.44e-5
PIGU	ENSG00000101464.10	1.44e-5
FAM189B	ENSG00000160767.20	1.45e-5
ZNF576	ENSG00000124444.15	1.51e-5
RRP12	ENSG00000052749.13	1.54e-5
TAF3	ENSG00000165632.7	1.63e-5
GARS	ENSG00000106105.13	1.69e-5
XPO5	ENSG00000124571.17	1.69e-5
ERGIC3	ENSG00000125991.18	1.72e-5
CLTA	ENSG00000122705.16	1.77e-5
SLC16A3	ENSG00000141526.14	1.80e-5
KIFC1	ENSG00000237649.7	1.98e-5
EIF5B	ENSG00000158417.10	2.15e-5
CMB9-22P13.1	ENSG00000173727.11	2.21e-5
TRPC4AP	ENSG00000100991.11	2.24e-5
GAPDH	ENSG00000111640.14	2.27e-5
CCT3	ENSG00000163468.14	2.32e-5
BRK1	ENSG00000254999.3	2.32e-5
CDC42EP2	ENSG00000149798.4	2.34e-5
TMEM106C	ENSG00000134291.11	2.57e-5
POLR2L	ENSG00000177700.5	2.64e-5
UBE2S	ENSG00000108106.13	2.78e-5
COMMD3	ENSG00000148444.15	2.79e-5
PPP1R14B	ENSG00000173457.10	2.92e-5
MRPL11	ENSG00000174547.13	2.94e-5
SLC11A1	ENSG00000018280.16	3.00e-5
CHEK1	ENSG00000149554.12	3.03e-5
SRD5A3	ENSG00000128039.10	3.11e-5
UCK2	ENSG00000143179.12	3.17e-5
MKLN1-AS	ENSG00000236753.5	3.35e-5
RP5-864K19.4	ENSG00000228436.2	3.43e-5
KRBA1	ENSG00000133619.17	3.45e-5
TMEM147	ENSG00000105677.11	3.55e-5
CTC-297N7.9	ENSG00000264016.2	3.57e-5
HCFC1	ENSG00000172534.13	3.63e-5
ILKAP	ENSG00000132323.8	3.64e-5
AGTRAP	ENSG00000177674.15	3.64e-5
MAPKAPK5-AS1	ENSG00000234608.7	3.70e-5
NKX3-2	ENSG00000109705.7	3.75e-5
UPF3B	ENSG00000125351.10	3.77e-5
RRP8	ENSG00000132275.10	4.16e-5
ABCC5	ENSG00000114770.16	4.22e-5
C4orf47	ENSG00000205129.8	4.23e-5
CDKN2C	ENSG00000123080.10	4.26e-5
CCT4	ENSG00000115484.14	4.37e-5
NUP37	ENSG00000075188.8	4.42e-5
RAB24	ENSG00000169228.13	4.45e-5
MED10	ENSG00000133398.3	4.56e-5
MIR210HG	ENSG00000247095.2	4.58e-5
SLC1A5	ENSG00000105281.12	4.67e-5
SMS	ENSG00000102172.15	4.70e-5
AP001469.9	ENSG00000239415.1	4.70e-5
CCDC167	ENSG00000198937.8	4.78e-5
ACOT8	ENSG00000101473.16	4.79e-5
TM2D1	ENSG00000162604.12	4.81e-5
SNRPGP2	ENSG00000264350.1	4.82e-5
HEXB	ENSG00000049860.13	4.83e-5
ERI3	ENSG00000117419.14	5.04e-5
PPIL1	ENSG00000137168.7	5.13e-5
EZH2	ENSG00000106462.10	5.25e-5
RP11-810P12.7	ENSG00000279491.1	5.30e-5
ABCF3	ENSG00000161204.11	5.55e-5
ACOT7	ENSG00000097021.19	5.56e-5
RNF8	ENSG00000112130.16	5.58e-5
