Gene Symbol	Gene ID	P-Value (Survival os)
ZNF488	ENSG00000265763.3	2.04e-6
ZNF706	ENSG00000120963.11	3.29e-6
RAET1K	ENSG00000218358.2	3.82e-6
AC144831.3	ENSG00000274370.1	6.31e-6
RP11-799M12.2	ENSG00000273133.1	7.41e-6
NPTX2	ENSG00000106236.3	9.67e-6
HOXD11	ENSG00000128713.12	1.31e-5
MIPEP	ENSG00000027001.9	1.44e-5
FOXA1	ENSG00000129514.5	1.65e-5
SDHA	ENSG00000073578.16	2.67e-5
HSPD1P6	ENSG00000230067.3	2.83e-5
KIF18B	ENSG00000186185.13	3.02e-5
RP11-340F14.6	ENSG00000274029.1	3.02e-5
NMNAT1	ENSG00000173614.13	3.07e-5
KLK6	ENSG00000167755.13	3.16e-5
PLK1	ENSG00000166851.14	3.26e-5
IL20RB	ENSG00000174564.12	3.54e-5
SHOX2	ENSG00000168779.19	3.79e-5
CCNE1	ENSG00000105173.13	3.84e-5
IL15RA	ENSG00000134470.19	3.85e-5
PSKH1	ENSG00000159792.9	4.23e-5
NXPH4	ENSG00000182379.9	4.25e-5
ADGRG2	ENSG00000173698.17	4.31e-5
JPH3	ENSG00000154118.12	4.39e-5
HAPLN1	ENSG00000145681.10	4.75e-5
TBX18	ENSG00000112837.16	5.19e-5
ASPM	ENSG00000066279.16	5.21e-5
TOLLIP-AS1	ENSG00000255153.1	5.36e-5
ELOVL2	ENSG00000197977.3	5.49e-5
KIF18A	ENSG00000121621.6	5.97e-5
KCNG1	ENSG00000026559.13	6.12e-5
ACAD8	ENSG00000151498.11	6.71e-5
IGF2BP3	ENSG00000136231.13	6.72e-5
NCAPH	ENSG00000121152.9	6.91e-5
CENPA	ENSG00000115163.14	7.15e-5
RDM1	ENSG00000278023.4	7.17e-5
PGPEP1	ENSG00000130517.13	7.46e-5
HIST1H3H	ENSG00000278828.1	7.54e-5
RP11-797H7.5	ENSG00000189316.3	7.80e-5
IDO1	ENSG00000131203.12	8.10e-5
RSPH14	ENSG00000100218.11	8.12e-5
TMCO4	ENSG00000162542.13	8.24e-5
ACTC1	ENSG00000159251.6	8.51e-5
ADA	ENSG00000196839.12	8.93e-5
SLC6A20	ENSG00000163817.15	8.95e-5
DKFZP434K028	ENSG00000124915.10	9.05e-5
PEG10	ENSG00000242265.5	9.09e-5
MYH11	ENSG00000133392.16	9.19e-5
KIF20A	ENSG00000112984.11	9.42e-5
DRP2	ENSG00000102385.12	9.63e-5
RP11-299G20.5	ENSG00000279970.1	9.72e-5
POPDC3	ENSG00000132429.9	9.74e-5
DUXAP9	ENSG00000225210.9	9.76e-5
CHST4	ENSG00000140835.9	9.93e-5
PRADC1	ENSG00000135617.3	1.03e-4
E2F7	ENSG00000165891.15	1.05e-4
APEH	ENSG00000164062.12	1.08e-4
CPNE5	ENSG00000124772.11	1.19e-4
EN1	ENSG00000163064.6	1.20e-4
NUSAP1	ENSG00000137804.12	1.21e-4
GABRQ	ENSG00000268089.2	1.22e-4
LRRC4B	ENSG00000131409.12	1.23e-4
PTH1R	ENSG00000160801.13	1.28e-4
ARHGEF39	ENSG00000137135.17	1.32e-4
ACY1	ENSG00000243989.7	1.36e-4
TRIP13	ENSG00000071539.13	1.44e-4
NEK2	ENSG00000117650.12	1.46e-4
RP4-616B8.5	ENSG00000274825.1	1.49e-4
C1orf210	ENSG00000253313.5	1.51e-4
RP11-617F23.1	ENSG00000259291.2	1.52e-4
E2F8	ENSG00000129173.12	1.56e-4
RP11-63A11.1	ENSG00000250781.1	1.58e-4
UTP14A	ENSG00000156697.12	1.61e-4
SOX11	ENSG00000176887.6	1.61e-4
SLC30A3	ENSG00000115194.10	1.62e-4
ASPN	ENSG00000106819.11	1.62e-4
LINGO1	ENSG00000169783.12	1.64e-4
NRARP	ENSG00000198435.3	1.64e-4
SCRG1	ENSG00000164106.7	1.65e-4
RPLP0P2	ENSG00000243742.5	1.69e-4
PAQR4	ENSG00000162073.13	1.70e-4
PKD2L1	ENSG00000107593.16	1.71e-4
NONO	ENSG00000147140.15	1.72e-4
FAM72D	ENSG00000215784.5	1.73e-4
PABPC1	ENSG00000070756.13	1.78e-4
YEATS2	ENSG00000163872.15	1.81e-4
EMP2	ENSG00000213853.9	1.82e-4
FBXO43	ENSG00000156509.13	1.82e-4
TREH	ENSG00000118094.11	1.93e-4
UBE2SP1	ENSG00000233966.1	1.93e-4
COQ9	ENSG00000088682.13	1.96e-4
MAP3K15	ENSG00000180815.14	1.96e-4
COL6A2	ENSG00000142173.14	2.01e-4
MYBL2	ENSG00000101057.15	2.03e-4
NAP1L1	ENSG00000187109.13	2.09e-4
PITX2	ENSG00000164093.15	2.13e-4
MYBL1	ENSG00000185697.16	2.13e-4
SIPA1L2	ENSG00000116991.10	2.18e-4
ACVR1C	ENSG00000123612.15	2.19e-4
FOXA2	ENSG00000125798.14	2.19e-4
DCLK3	ENSG00000163673.6	2.28e-4
KIF15	ENSG00000163808.16	2.33e-4
OR7E14P	ENSG00000184669.7	2.34e-4
KISS1	ENSG00000170498.8	2.42e-4
MMP1	ENSG00000196611.4	2.50e-4
NEDD4L	ENSG00000049759.16	2.50e-4
FGF18	ENSG00000156427.7	2.53e-4
C19orf33	ENSG00000167644.11	2.54e-4
XRCC2	ENSG00000196584.2	2.59e-4
FAM65A	ENSG00000039523.17	2.61e-4
PCCA	ENSG00000175198.14	2.63e-4
RP11-175K6.2	ENSG00000279204.1	2.69e-4
RRM2	ENSG00000171848.13	2.73e-4
PEX11G	ENSG00000104883.7	2.73e-4
GJC1	ENSG00000182963.9	2.80e-4
NGF	ENSG00000134259.3	2.83e-4
TOP2A	ENSG00000131747.14	2.87e-4
ZBTB2	ENSG00000181472.4	2.88e-4
CCNA2	ENSG00000145386.9	2.88e-4
RP11-466H18.1	ENSG00000244398.1	2.94e-4
RP11-543P15.1	ENSG00000227081.5	3.01e-4
UQCRC1	ENSG00000010256.10	3.05e-4
RPS6KA1	ENSG00000117676.13	3.12e-4
AC245100.1	ENSG00000280649.1	3.13e-4
CTD-2014B16.5	ENSG00000277651.1	3.13e-4
RAB17	ENSG00000124839.12	3.13e-4
DUSP5P1	ENSG00000183929.7	3.17e-4
RP11-564D11.3	ENSG00000255624.2	3.17e-4
FOLH1	ENSG00000086205.16	3.24e-4
C17orf58	ENSG00000186665.8	3.27e-4
CC2D2A	ENSG00000048342.15	3.30e-4
SYNJ2	ENSG00000078269.13	3.38e-4
FNDC1	ENSG00000164694.16	3.39e-4
M1AP	ENSG00000159374.17	3.42e-4
EME1	ENSG00000154920.14	3.48e-4
MYL3	ENSG00000160808.9	3.48e-4
KIF1C	ENSG00000129250.11	3.52e-4
TXNRD2	ENSG00000184470.19	3.53e-4
OIP5	ENSG00000104147.8	3.53e-4
NIFK	ENSG00000155438.11	3.57e-4
DLEU2	ENSG00000231607.8	3.59e-4
ERCC6L	ENSG00000186871.6	3.59e-4
MIEF2	ENSG00000177427.12	3.65e-4
UBE2C	ENSG00000175063.16	3.66e-4
KTN1-AS1	ENSG00000186615.10	3.67e-4
NPM1P5	ENSG00000258925.2	3.76e-4
PFKFB4	ENSG00000114268.11	3.76e-4
CHDH	ENSG00000016391.10	3.82e-4
RGAG1	ENSG00000243978.8	3.87e-4
RPL39P3	ENSG00000235174.1	3.93e-4
PRR11	ENSG00000068489.12	3.95e-4
RTN4IP1	ENSG00000130347.12	3.96e-4
STAMBPL1	ENSG00000138134.11	3.97e-4
NOTCH3	ENSG00000074181.8	4.02e-4
CENPH	ENSG00000153044.9	4.17e-4
C3orf80	ENSG00000180044.4	4.17e-4
ACAT1	ENSG00000075239.13	4.17e-4
RP11-266L9.8	ENSG00000275494.1	4.19e-4
FBXO44	ENSG00000132879.13	4.20e-4
ACAA2	ENSG00000167315.17	4.23e-4
ALOX15B	ENSG00000179593.15	4.24e-4
RP11-576D8.4	ENSG00000224717.1	4.26e-4
PTGIS	ENSG00000124212.5	4.28e-4
CNN1	ENSG00000130176.7	4.34e-4
TWIST2	ENSG00000233608.3	4.35e-4
HSPB6	ENSG00000004776.11	4.36e-4
PABPC4	ENSG00000090621.13	4.42e-4
RGS5	ENSG00000143248.12	4.47e-4
AF131217.1	ENSG00000232855.6	4.53e-4
CENPF	ENSG00000117724.12	4.54e-4
LBP	ENSG00000129988.5	4.55e-4
RP11-507E23.1	ENSG00000242951.1	4.56e-4
EN2	ENSG00000164778.4	4.59e-4
VEGFA	ENSG00000112715.20	4.60e-4
CKS2	ENSG00000123975.4	4.61e-4
TFAP2A	ENSG00000137203.10	4.79e-4
BOP1	ENSG00000261236.5	4.85e-4
DIO3	ENSG00000197406.7	4.85e-4
SIX1	ENSG00000126778.8	4.93e-4
PLOD1	ENSG00000083444.16	4.96e-4
RP11-44F14.1	ENSG00000260078.3	4.98e-4
RASGRF2	ENSG00000113319.11	5.06e-4
NKAPL	ENSG00000189134.3	5.06e-4
RBM10	ENSG00000182872.15	5.08e-4
CDT1	ENSG00000167513.8	5.11e-4
MIOX	ENSG00000100253.12	5.13e-4
MSTO2P	ENSG00000203761.5	5.16e-4
RMI2	ENSG00000175643.8	5.17e-4
CDCA3	ENSG00000111665.11	5.20e-4
SLC7A11	ENSG00000151012.13	5.21e-4
HMMR	ENSG00000072571.19	5.32e-4
ADAMTS9-AS1	ENSG00000241158.5	5.40e-4
SPOCD1	ENSG00000134668.12	5.41e-4
RP11-195F19.5	ENSG00000187186.14	5.49e-4
MTHFD2	ENSG00000065911.11	5.55e-4
P4HB	ENSG00000185624.14	5.55e-4
FBXO39	ENSG00000177294.6	5.56e-4
