Gene Symbol	Gene ID	P-Value (Survival os)
ADAMTS9-AS1	ENSG00000241158.5	7.84e-7
HSPB6	ENSG00000004776.11	1.96e-6
PTPN6	ENSG00000111679.16	2.69e-6
HTRA1	ENSG00000166033.11	3.44e-6
BCL2L14	ENSG00000121380.12	4.59e-6
CTD-2196E14.5	ENSG00000261266.2	6.15e-6
ATP8B2	ENSG00000143515.16	1.01e-5
FLRT2	ENSG00000185070.10	1.06e-5
CLEC2D	ENSG00000069493.14	1.28e-5
DLEU1	ENSG00000176124.11	1.40e-5
RP11-97C16.1	ENSG00000271870.1	1.46e-5
CASQ2	ENSG00000118729.11	1.83e-5
RP11-646I6.6	ENSG00000270147.1	2.00e-5
UBE2R2-AS1	ENSG00000235481.2	2.27e-5
GUSBP11	ENSG00000228315.11	2.36e-5
RP11-111J6.2	ENSG00000260331.1	2.57e-5
UNC93B2	ENSG00000155070.8	2.62e-5
OSBPL6	ENSG00000079156.16	2.70e-5
GXYLT2	ENSG00000172986.12	2.71e-5
UNC93B5	ENSG00000184795.9	3.24e-5
MITD1	ENSG00000158411.10	4.48e-5
KLK5	ENSG00000167754.12	5.01e-5
CRYAB	ENSG00000109846.7	5.46e-5
APOL1	ENSG00000100342.20	5.55e-5
NEGR1	ENSG00000172260.13	5.85e-5
PPFIBP2	ENSG00000166387.11	6.22e-5
MAP1A	ENSG00000166963.12	6.26e-5
PROS1	ENSG00000184500.14	7.18e-5
ACSS3	ENSG00000111058.7	7.30e-5
RP11-209D14.2	ENSG00000261033.1	7.67e-5
EFEMP1	ENSG00000115380.18	7.68e-5
POLR3G	ENSG00000113356.10	8.52e-5
ECM1	ENSG00000143369.14	8.54e-5
KIF28P	ENSG00000223519.7	8.73e-5
SERPINE2	ENSG00000135919.12	8.80e-5
TCIRG1	ENSG00000110719.9	9.36e-5
SMAD6	ENSG00000137834.14	9.37e-5
RP11-112J3.16	ENSG00000227388.2	1.04e-4
HYAL3	ENSG00000186792.15	1.05e-4
TLL1	ENSG00000038295.7	1.05e-4
RP11-499P20.2	ENSG00000240291.1	1.09e-4
FER1L4	ENSG00000088340.15	1.12e-4
MZF1	ENSG00000099326.8	1.12e-4
BHMT2	ENSG00000132840.9	1.15e-4
PCLO	ENSG00000186472.19	1.20e-4
RAD54B	ENSG00000197275.12	1.20e-4
RP1-179N16.6	ENSG00000246982.6	1.21e-4
BEND5	ENSG00000162373.12	1.22e-4
PCDHB12	ENSG00000120328.6	1.23e-4
NFIA	ENSG00000162599.15	1.32e-4
SVIL	ENSG00000197321.14	1.33e-4
CH17-262A2.1	ENSG00000275426.1	1.35e-4
TNFRSF14	ENSG00000157873.17	1.36e-4
C15orf59	ENSG00000205363.5	1.39e-4
PCDHGA4	ENSG00000262576.2	1.41e-4
SLC9B2	ENSG00000164038.14	1.42e-4
GALNT16	ENSG00000100626.16	1.46e-4
RP3-395M20.8	ENSG00000238164.6	1.47e-4
RP5-1136G13.2	ENSG00000273314.1	1.48e-4
FADS1	ENSG00000149485.16	1.48e-4
NAP1L3	ENSG00000186310.9	1.51e-4
ECHDC3	ENSG00000134463.14	1.52e-4
TMEM11	ENSG00000178307.9	1.54e-4
EMP1	ENSG00000134531.9	1.60e-4
GSTT2	ENSG00000099984.10	1.61e-4
ETV7	ENSG00000010030.13	1.63e-4
PCSK5	ENSG00000099139.13	1.63e-4
NRXN1	ENSG00000179915.20	1.71e-4
