Gene Symbol	Gene ID	P-Value (Survival os)
TREX1	ENSG00000213689.9	2.65e-8
SLN	ENSG00000170290.3	1.15e-6
EREG	ENSG00000124882.3	8.59e-6
CXCL8	ENSG00000169429.10	1.42e-5
PMEPA1	ENSG00000124225.15	2.37e-5
MTCP1	ENSG00000214827.9	2.51e-5
MMP8	ENSG00000118113.11	3.71e-5
TM9SF1	ENSG00000100926.14	3.95e-5
S1PR4	ENSG00000125910.5	3.97e-5
RP11-1191J2.5	ENSG00000272927.1	4.54e-5
VAC14	ENSG00000103043.14	5.22e-5
MEI1	ENSG00000167077.12	5.33e-5
ERICH6B	ENSG00000165837.11	6.05e-5
WBP1LP2	ENSG00000250474.1	6.58e-5
ITGA5	ENSG00000161638.10	6.87e-5
SEMA3A	ENSG00000075213.10	7.83e-5
EAF2	ENSG00000145088.8	8.15e-5
PEAR1	ENSG00000187800.13	8.21e-5
TMEM33	ENSG00000109133.12	9.37e-5
CENPM	ENSG00000100162.14	1.05e-4
C7orf25	ENSG00000136197.12	1.20e-4
UBAC1	ENSG00000130560.8	1.27e-4
CD6	ENSG00000013725.14	1.33e-4
LINC00861	ENSG00000245164.6	1.61e-4
AP003774.1	ENSG00000236935.1	1.70e-4
CD27	ENSG00000139193.3	1.83e-4
RP13-1032I1.7	ENSG00000262049.1	2.06e-4
PPP1R14BP3	ENSG00000179967.11	2.10e-4
MLLT4	ENSG00000130396.20	2.14e-4
H2AFB3	ENSG00000277745.1	2.15e-4
LIPE-AS1	ENSG00000213904.8	2.19e-4
TRBV20-1	ENSG00000211747.3	2.20e-4
SERINC3	ENSG00000132824.13	2.24e-4
INHBA	ENSG00000122641.9	2.26e-4
BTNL8	ENSG00000113303.11	2.45e-4
SPIB	ENSG00000269404.6	2.58e-4
ZNF696	ENSG00000185730.7	2.61e-4
GTSF1L	ENSG00000124196.5	2.62e-4
C16orf93	ENSG00000196118.11	2.64e-4
MCEMP1	ENSG00000183019.7	2.64e-4
CNIH1	ENSG00000100528.11	2.70e-4
AC007238.1	ENSG00000231043.3	2.78e-4
CHKB	ENSG00000100288.19	2.95e-4
NCAPH2	ENSG00000025770.18	2.96e-4
TCEB3	ENSG00000011007.12	2.96e-4
ANGPT2	ENSG00000091879.13	3.02e-4
RP11-485G7.5	ENSG00000263080.1	3.09e-4
SLC19A3	ENSG00000135917.13	3.13e-4
LINC00460	ENSG00000233532.5	3.18e-4
MIR4458HG	ENSG00000247516.4	3.18e-4
TAF1A	ENSG00000143498.17	3.25e-4
TNFRSF13C	ENSG00000159958.4	3.28e-4
MAP3K14	ENSG00000006062.13	3.30e-4
DCBLD1	ENSG00000164465.18	3.36e-4
RAD9B	ENSG00000151164.18	3.36e-4
IKZF3	ENSG00000161405.16	3.43e-4
NUPL1	ENSG00000139496.15	3.46e-4
AGPAT4-IT1	ENSG00000279355.1	3.47e-4
RP11-147L13.15	ENSG00000274712.1	3.54e-4
MFSD3	ENSG00000167700.8	3.56e-4
MAP2K2	ENSG00000126934.13	3.60e-4
LINC01152	ENSG00000256124.5	3.76e-4
NUS1P1	ENSG00000235636.1	3.76e-4
DNMT1	ENSG00000130816.14	3.81e-4
LINC00598	ENSG00000215483.8	3.83e-4
SMYD2	ENSG00000143499.13	3.84e-4
LOXL2	ENSG00000134013.15	3.85e-4
HGH1	ENSG00000235173.6	3.87e-4
SLC25A28	ENSG00000155287.10	4.04e-4
ARHGAP4	ENSG00000089820.15	4.07e-4
TCP11	ENSG00000124678.17	4.09e-4
UBXN11	ENSG00000158062.20	4.11e-4
SLC22A20	ENSG00000197847.12	4.26e-4
CTD-3203P2.3	ENSG00000274092.1	4.41e-4
TNFRSF10D	ENSG00000173530.5	4.47e-4
EGLN1	ENSG00000135766.8	4.48e-4
C6orf118	ENSG00000112539.14	4.49e-4
WNT3A	ENSG00000154342.5	4.51e-4
MYO1A	ENSG00000166866.12	4.54e-4
BZW1P2	ENSG00000198406.7	4.58e-4
SLC39A1	ENSG00000143570.17	4.62e-4
KATNAL1	ENSG00000102781.13	4.75e-4
HK2	ENSG00000159399.9	4.80e-4
PARP6	ENSG00000137817.16	4.80e-4
TMEM55A	ENSG00000155099.7	4.85e-4
RP11-468E2.10	ENSG00000276698.1	4.85e-4
FUT11	ENSG00000196968.10	4.94e-4
TTC36	ENSG00000172425.10	4.94e-4
SYTL3	ENSG00000164674.15	5.12e-4
MAP4K1	ENSG00000104814.12	5.13e-4
SERPINA3	ENSG00000196136.16	5.17e-4
NDUFB7	ENSG00000099795.6	5.30e-4
SYCE2	ENSG00000161860.7	5.33e-4
TLL1	ENSG00000038295.7	5.47e-4
TRBC2	ENSG00000211772.8	5.52e-4
WWC2	ENSG00000151718.15	5.56e-4
RP11-264B17.2	ENSG00000260853.1	5.61e-4
C11orf88	ENSG00000183644.13	5.69e-4
RP11-571M6.18	ENSG00000269903.1	5.91e-4
ZNF688	ENSG00000229809.8	5.99e-4
ATR	ENSG00000175054.14	6.09e-4
IGKV1-12	ENSG00000243290.1	6.15e-4
PLA2G2D	ENSG00000117215.14	6.20e-4
TMOD3	ENSG00000138594.12	6.23e-4
HS1BP3-IT1	ENSG00000231948.2	6.35e-4
BIN2	ENSG00000110934.10	6.35e-4
SELL	ENSG00000188404.8	6.38e-4
AC079767.4	ENSG00000224137.1	6.45e-4
RP11-80H5.5	ENSG00000249962.1	6.55e-4
TRAC	ENSG00000277734.4	6.58e-4
POLRMT	ENSG00000099821.13	6.65e-4
RP11-638I2.6	ENSG00000258504.2	6.67e-4
FAM47E-STBD1	ENSG00000118804.8	6.68e-4
CTC-303L1.1	ENSG00000232578.4	6.70e-4
CTU1	ENSG00000142544.6	6.73e-4
HSP90AB2P	ENSG00000205940.8	6.77e-4
AC006014.7	ENSG00000242073.2	6.86e-4
TECRP1	ENSG00000235043.3	7.06e-4
RP3-508I15.21	ENSG00000272669.1	7.17e-4
C6orf136	ENSG00000204564.11	7.18e-4
DGCR6	ENSG00000183628.12	7.21e-4
AKAP11	ENSG00000023516.8	7.41e-4
MRPL40	ENSG00000185608.8	7.42e-4
OTUB2	ENSG00000089723.9	7.63e-4
ZAP70	ENSG00000115085.13	7.71e-4
CITF22-1A6.3	ENSG00000273192.1	7.71e-4
RPL24P4	ENSG00000181524.6	7.91e-4
DUOX1	ENSG00000137857.17	8.09e-4
SERPINA5	ENSG00000188488.13	8.11e-4
CRABP1	ENSG00000166426.7	8.25e-4
RP11-305L7.1	ENSG00000230537.1	8.25e-4
ITGAD	ENSG00000156886.11	8.26e-4
AC002398.12	ENSG00000267328.1	8.42e-4
CHAF1A	ENSG00000167670.15	8.53e-4
LATS2	ENSG00000150457.8	8.56e-4
CH507-152C13.1	ENSG00000275895.4	8.56e-4
GALNT2	ENSG00000143641.9	8.67e-4
ZNF101	ENSG00000181896.11	8.69e-4
ST7-OT4	ENSG00000214188.9	8.80e-4
TMEM165	ENSG00000134851.12	8.82e-4
KEL	ENSG00000197993.7	8.85e-4
DEF6	ENSG00000023892.10	8.97e-4
RP11-1148L6.8	ENSG00000279528.1	9.02e-4
