Gene Symbol	Gene ID	P-Value (Survival os)
HLA-DOB	ENSG00000241106.6	2.41e-5
BTLA	ENSG00000186265.9	4.13e-5
WTAP	ENSG00000146457.14	5.73e-5
ISG20	ENSG00000172183.14	6.64e-5
AADAC	ENSG00000114771.13	8.57e-5
NARS2	ENSG00000137513.9	9.17e-5
RP11-418H16.1	ENSG00000281920.1	1.38e-4
GBP1P1	ENSG00000225492.6	1.48e-4
GMPR	ENSG00000137198.9	1.51e-4
RP1-224A6.3	ENSG00000228397.1	1.67e-4
SERPINI2	ENSG00000114204.14	1.95e-4
FCGBP	ENSG00000275395.4	1.96e-4
FAM200B	ENSG00000237765.6	2.41e-4
RP5-851M4.1	ENSG00000277901.1	2.55e-4
RP3-500L14.2	ENSG00000272209.1	2.84e-4
CTC-575D19.1	ENSG00000233913.7	2.89e-4
PI3	ENSG00000124102.4	2.95e-4
RP11-126K1.6	ENSG00000237976.1	3.20e-4
RGMB-AS1	ENSG00000246763.6	3.28e-4
C11orf31	ENSG00000211450.9	3.59e-4
TPT1	ENSG00000133112.16	3.70e-4
RN7SKP163	ENSG00000200091.1	3.85e-4
RP11-6O2.2	ENSG00000278090.1	4.23e-4
ITPKC	ENSG00000086544.2	4.31e-4
CXCL13	ENSG00000156234.7	4.40e-4
RPS6KA2	ENSG00000071242.11	4.48e-4
ACSM3	ENSG00000005187.11	4.53e-4
FLJ26245	ENSG00000261122.6	4.73e-4
TRBV12-4	ENSG00000276953.1	4.93e-4
ADAMDEC1	ENSG00000134028.14	5.06e-4
PCAT18	ENSG00000265369.3	5.39e-4
EPB41L2	ENSG00000079819.16	5.59e-4
RP11-383F6.1	ENSG00000229677.1	5.61e-4
RP11-16F15.2	ENSG00000239470.3	5.79e-4
MCUR1	ENSG00000050393.11	6.10e-4
WFDC5	ENSG00000175121.11	6.16e-4
RP11-771K4.3	ENSG00000275769.1	6.21e-4
SNRPD1	ENSG00000167088.10	6.30e-4
MYCNOS	ENSG00000233718.5	6.48e-4
GALNT10	ENSG00000164574.15	6.59e-4
AC018462.2	ENSG00000229839.6	6.86e-4
OAZ3	ENSG00000143450.14	6.86e-4
RP11-144F15.1	ENSG00000257545.4	6.95e-4
MYOM2	ENSG00000036448.9	7.30e-4
SELL	ENSG00000188404.8	7.49e-4
RP11-1081M5.3	ENSG00000274295.1	7.60e-4
RP11-195F19.9	ENSG00000230074.1	7.78e-4
HAGLROS	ENSG00000226363.3	8.07e-4
NOL7	ENSG00000225921.6	8.24e-4
CTPS2	ENSG00000047230.14	8.90e-4
RP3-512B11.3	ENSG00000261189.1	8.91e-4
GPR27	ENSG00000170837.2	9.16e-4
RP5-1120P11.1	ENSG00000237686.6	9.23e-4
FAM120B	ENSG00000112584.13	9.43e-4
ANKRD13A	ENSG00000076513.16	9.52e-4
CACNA1C	ENSG00000151067.20	9.57e-4
RP11-166P13.3	ENSG00000263004.1	9.70e-4
MAVS	ENSG00000088888.17	9.70e-4
USP30-AS1	ENSG00000256262.1	9.78e-4
SPOCK2	ENSG00000107742.12	1.01e-3
LINC00592	ENSG00000258279.2	1.04e-3
FAM166B	ENSG00000215187.9	1.04e-3
ICOS	ENSG00000163600.12	1.04e-3
RIPK4	ENSG00000183421.11	1.04e-3
KCTD11	ENSG00000213859.4	1.07e-3
RPL21P28	ENSG00000220749.4	1.07e-3
PFN4	ENSG00000176732.6	1.10e-3
PEX3	ENSG00000034693.14	1.15e-3
CKAP2	ENSG00000136108.14	1.16e-3
RPS3AP2	ENSG00000219027.2	1.16e-3
CXCL11	ENSG00000169248.12	1.18e-3
PARK2	ENSG00000185345.18	1.18e-3
TEX261	ENSG00000144043.11	1.19e-3
TBC1D7	ENSG00000145979.17	1.20e-3
SOGA1	ENSG00000149639.14	1.20e-3
NLRP4	ENSG00000160505.15	1.22e-3
SORCS2	ENSG00000184985.16	1.24e-3
FBXO24	ENSG00000106336.12	1.25e-3
RP11-17E2.2	ENSG00000250039.3	1.26e-3
RP11-439E19.7	ENSG00000235021.1	1.28e-3
STAU2	ENSG00000040341.17	1.32e-3
CTXN2	ENSG00000233932.4	1.33e-3
CTD-3035D6.2	ENSG00000258884.1	1.35e-3
AL133243.2	ENSG00000276517.1	1.37e-3
RP11-2C24.3	ENSG00000280211.1	1.39e-3
SASH1	ENSG00000111961.16	1.40e-3
NDRG3	ENSG00000101079.20	1.42e-3
RP11-66N11.8	ENSG00000260081.1	1.46e-3
ESCO1	ENSG00000141446.10	1.46e-3
TRGC2	ENSG00000227191.6	1.49e-3
MIR762HG	ENSG00000260083.1	1.51e-3
CD38	ENSG00000004468.12	1.62e-3
RP11-560J1.2	ENSG00000271888.1	1.63e-3
SLC51A	ENSG00000163959.9	1.66e-3
OR2W6P	ENSG00000168126.3	1.66e-3
RP11-634H22.1	ENSG00000273391.1	1.68e-3
RP11-905K4.1	ENSG00000267627.5	1.71e-3
TFB1M	ENSG00000029639.10	1.72e-3
AC004540.5	ENSG00000214870.8	1.73e-3
CCL19	ENSG00000172724.11	1.78e-3
DYDC2	ENSG00000133665.12	1.79e-3
FLG-AS1	ENSG00000237975.6	1.80e-3
AC010761.10	ENSG00000265840.1	1.81e-3
ZFP57	ENSG00000204644.9	1.84e-3
METTL21C	ENSG00000139780.7	1.86e-3
SCNN1A	ENSG00000111319.12	1.86e-3
RP11-961A15.3	ENSG00000277597.1	1.86e-3
AP1S2	ENSG00000182287.13	1.87e-3
NLRP12	ENSG00000142405.21	1.89e-3
FCRL3	ENSG00000160856.20	1.91e-3
RP11-23D24.2	ENSG00000238755.3	1.93e-3
ACTR1A	ENSG00000138107.11	1.95e-3
OR6E1P	ENSG00000235213.1	1.96e-3
Metazoa_SRP	ENSG00000280743.1	1.97e-3
KIZ	ENSG00000088970.15	1.99e-3
RP11-123K3.9	ENSG00000276727.1	2.00e-3
WT1-AS_8	ENSG00000277119.1	2.07e-3
TMEM14B	ENSG00000137210.13	2.10e-3
DNAJC9-AS1	ENSG00000236756.4	2.13e-3
SP8	ENSG00000164651.16	2.15e-3
FGF13	ENSG00000129682.13	2.15e-3
AC012360.4	ENSG00000235319.1	2.18e-3
ZNF846	ENSG00000196605.7	2.26e-3
AHRR	ENSG00000063438.16	2.27e-3
RXFP1	ENSG00000171509.15	2.33e-3
RP11-98I9.4	ENSG00000228506.1	2.33e-3
ZNF729	ENSG00000196350.8	2.34e-3
SERPINE3	ENSG00000253309.6	2.41e-3
HSPE1	ENSG00000115541.10	2.41e-3
RP13-270P17.1	ENSG00000264235.5	2.42e-3
LCN6	ENSG00000267206.5	2.45e-3
HIST2H2BF	ENSG00000203814.6	2.47e-3
GBP4	ENSG00000162654.8	2.48e-3
IFI6	ENSG00000126709.14	2.53e-3
RP11-58O9.2	ENSG00000279806.1	2.55e-3
RP11-1084I9.1	ENSG00000206187.3	2.57e-3
NFIX	ENSG00000008441.16	2.57e-3
AC108004.2	ENSG00000273172.1	2.57e-3
GNAT1	ENSG00000114349.9	2.57e-3
MRPS15	ENSG00000116898.11	2.57e-3
TRPV4	ENSG00000111199.10	2.61e-3
RNF144B	ENSG00000137393.9	2.68e-3
RP11-701H24.4	ENSG00000261069.3	2.68e-3
HCG14	ENSG00000224157.1	2.69e-3
CLPSL2	ENSG00000196748.9	2.70e-3
RPL3	ENSG00000100316.15	2.71e-3
EML2	ENSG00000125746.14	2.72e-3
KRT4	ENSG00000170477.12	2.78e-3
LRRC37A12P	ENSG00000229259.1	2.78e-3
RPL23	ENSG00000125691.12	2.79e-3
RPL7AP30	ENSG00000241741.1	2.82e-3
RP11-96H19.1	ENSG00000257261.5	2.83e-3
NDUFB4	ENSG00000065518.7	2.84e-3
LA16c-360A4.1	ENSG00000275438.1	2.86e-3
