Gene Symbol	Gene ID	P-Value (Survival os)
MCTS1	ENSG00000232119.7	2.02e-6
OVOS2	ENSG00000177359.17	1.19e-5
MAPT-IT1	ENSG00000279685.2	1.51e-5
ATG4A	ENSG00000101844.17	1.68e-5
SLC16A2	ENSG00000147100.9	2.15e-5
SLC35A2	ENSG00000102100.14	2.67e-5
VDAC1	ENSG00000213585.10	3.01e-5
TBC1D24	ENSG00000162065.11	5.02e-5
RP11-214F16.8	ENSG00000280710.2	5.21e-5
PDP1	ENSG00000164951.15	5.29e-5
TCP1	ENSG00000120438.11	6.14e-5
QPRT	ENSG00000103485.17	6.21e-5
TRBC2	ENSG00000211772.8	6.88e-5
C8orf33	ENSG00000182307.12	8.16e-5
RTN4IP1	ENSG00000130347.12	8.77e-5
TP53AIP1	ENSG00000120471.14	8.90e-5
IGHD	ENSG00000211898.7	9.03e-5
GTF2H5	ENSG00000272047.1	9.59e-5
FAM155B	ENSG00000130054.4	1.07e-4
DAPL1	ENSG00000163331.10	1.17e-4
LRRC37A6P	ENSG00000230445.4	1.19e-4
CD24	ENSG00000272398.5	1.58e-4
DCTPP1	ENSG00000179958.8	1.67e-4
PGK1	ENSG00000102144.13	1.72e-4
TP53I11	ENSG00000175274.18	1.73e-4
PVR	ENSG00000073008.14	1.82e-4
SEC61G	ENSG00000132432.13	1.98e-4
PRR13P5	ENSG00000187534.6	2.07e-4
PRSS1	ENSG00000204983.12	2.08e-4
CCDC24	ENSG00000159214.12	2.12e-4
NANOS1	ENSG00000188613.6	2.15e-4
HYAL4	ENSG00000106302.9	2.16e-4
TIMM8A	ENSG00000126953.5	2.38e-4
CYB561	ENSG00000008283.15	2.41e-4
ENO1-IT1	ENSG00000236269.1	2.44e-4
NKAP	ENSG00000101882.9	2.46e-4
RP11-131N11.4	ENSG00000254271.1	2.49e-4
ZIC2	ENSG00000043355.10	2.55e-4
BCAP31	ENSG00000185825.15	2.61e-4
RP11-334L9.1	ENSG00000215895.4	2.74e-4
CTSW	ENSG00000172543.7	2.78e-4
ZSWIM3	ENSG00000132801.6	2.78e-4
PXDNL	ENSG00000147485.12	2.79e-4
CHCHD7	ENSG00000170791.17	2.89e-4
CYP24A1	ENSG00000019186.9	3.01e-4
RP11-283G6.5	ENSG00000255750.5	3.07e-4
ATP5B	ENSG00000110955.8	3.10e-4
DERL1	ENSG00000136986.9	3.17e-4
