Gene Symbol	Gene ID	P-Value (Survival os)
RP5-1007F24.1	ENSG00000280255.1	6.88e-4
PPP1R14D	ENSG00000166143.9	7.65e-4
APOC1	ENSG00000130208.9	1.08e-3
CENPU	ENSG00000151725.11	1.08e-3
PLA2G2C	ENSG00000187980.6	1.11e-3
TREM2	ENSG00000095970.16	1.15e-3
KATNAL2	ENSG00000167216.16	1.16e-3
RP5-890E16.4	ENSG00000266341.1	1.34e-3
SPAG6	ENSG00000077327.15	1.76e-3
ATP1A4	ENSG00000132681.16	1.86e-3
AC112715.2	ENSG00000224132.2	1.92e-3
CHIT1	ENSG00000133063.15	2.03e-3
DBH-AS1	ENSG00000225756.1	2.27e-3
AFTPH	ENSG00000119844.14	2.30e-3
RP11-101E13.5	ENSG00000272579.1	2.31e-3
DDX11L2	ENSG00000236397.3	2.32e-3
RP11-17M16.2	ENSG00000265778.2	2.37e-3
OSGIN1	ENSG00000140961.12	2.39e-3
CTD-2540B15.11	ENSG00000267580.1	2.43e-3
CTD-2506P8.6	ENSG00000273783.1	2.45e-3
IGLC5	ENSG00000254030.1	2.49e-3
DNTT	ENSG00000107447.7	2.63e-3
CTC-435M10.3	ENSG00000255730.4	2.69e-3
TRAIP	ENSG00000183763.8	2.78e-3
RP11-497H17.1	ENSG00000262663.1	2.97e-3
SYNJ2BP-COX16	ENSG00000258644.5	3.13e-3
PKMYT1	ENSG00000127564.16	3.17e-3
SNRPD1	ENSG00000167088.10	3.22e-3
ANKRD2	ENSG00000165887.11	3.25e-3
CDH23	ENSG00000107736.19	3.40e-3
LINC00623	ENSG00000226067.6	3.53e-3
RPS4XP1	ENSG00000214203.4	3.54e-3
DNASE2B	ENSG00000137976.7	3.70e-3
RP11-126K1.2	ENSG00000232671.5	3.70e-3
RP11-132N15.3	ENSG00000224187.1	3.72e-3
CTDSPL	ENSG00000144677.14	3.74e-3
TMEM27	ENSG00000147003.5	3.74e-3
FAM163B	ENSG00000196990.8	3.85e-3
VRK1	ENSG00000100749.7	3.87e-3
NANOGNBP3	ENSG00000270813.2	3.95e-3
COX6C	ENSG00000164919.10	4.19e-3
MRGPRF	ENSG00000172935.8	4.47e-3
ABCB8	ENSG00000197150.12	4.50e-3
ACAP1	ENSG00000072818.11	4.57e-3
ATOX1	ENSG00000177556.11	4.69e-3
GDA	ENSG00000119125.16	4.87e-3
PDE4C	ENSG00000105650.21	4.87e-3
SLITRK4	ENSG00000179542.15	4.90e-3
HEBP1	ENSG00000013583.8	4.98e-3
RECQL4	ENSG00000160957.12	5.18e-3
ENDOU	ENSG00000111405.8	5.20e-3
RP11-297N6.4	ENSG00000255046.1	5.28e-3
EIF3B	ENSG00000106263.17	5.31e-3
NELFE	ENSG00000204356.11	5.31e-3
PSCA	ENSG00000167653.4	5.38e-3
AC096559.1	ENSG00000224184.5	5.38e-3
CYP39A1	ENSG00000146233.7	5.52e-3
LCNL1	ENSG00000214402.6	5.53e-3
TK1	ENSG00000167900.11	5.58e-3
RP11-332H14.1	ENSG00000272861.1	5.59e-3
UQCRC1	ENSG00000010256.10	5.62e-3
RP11-57G10.8	ENSG00000272892.1	5.64e-3
WDR62	ENSG00000075702.16	5.65e-3
RP11-205K6.3	ENSG00000279137.1	5.66e-3
KIF9	ENSG00000088727.12	5.85e-3
RP11-426L16.10	ENSG00000271810.5	5.93e-3
RP11-115H18.1	ENSG00000273125.1	6.15e-3
CLTA	ENSG00000122705.16	6.33e-3
RP11-593F23.1	ENSG00000259422.1	6.36e-3
AK8	ENSG00000165695.9	6.41e-3
ATP8A2P2	ENSG00000229800.1	6.51e-3
ABHD11	ENSG00000106077.18	7.02e-3
TXNRD3	ENSG00000197763.12	7.08e-3
SSPO	ENSG00000197558.11	7.18e-3
CHTF18	ENSG00000127586.16	7.24e-3
NUP85	ENSG00000125450.10	7.24e-3
PPP1R21	ENSG00000162869.15	7.34e-3
DMRTA2	ENSG00000142700.11	7.59e-3
TOMM6	ENSG00000214736.7	7.60e-3
PTGDS	ENSG00000107317.11	7.87e-3
GPER1	ENSG00000164850.14	7.93e-3
ZNF749	ENSG00000186230.6	7.93e-3
RP4-529N6.1	ENSG00000205444.2	8.07e-3
PARM1	ENSG00000169116.11	8.13e-3
ATRIP	ENSG00000164053.17	8.19e-3
MTND4P12	ENSG00000247627.2	8.28e-3
RP11-212I21.5	ENSG00000274508.1	8.28e-3
MATK	ENSG00000007264.13	8.33e-3
CENPBD1P1	ENSG00000213753.10	8.57e-3
NEB	ENSG00000183091.19	8.62e-3
SEC61G	ENSG00000132432.13	8.83e-3
NOL12	ENSG00000273899.4	8.86e-3
ITGB7	ENSG00000139626.15	8.92e-3
GGTLC5P	ENSG00000276160.1	8.99e-3
IFT122	ENSG00000163913.11	9.02e-3
DUX4L50	ENSG00000232815.1	9.08e-3
RP11-560J1.2	ENSG00000271888.1	9.11e-3
RP11-958N24.2	ENSG00000227827.3	9.20e-3
DTYMK	ENSG00000168393.12	9.23e-3
SNRPC	ENSG00000124562.9	9.23e-3
IFT22	ENSG00000128581.15	9.31e-3
DCTN3	ENSG00000137100.15	9.31e-3
CTD-2561J22.5	ENSG00000268119.5	9.32e-3
CYP4A22-AS1	ENSG00000225506.2	9.38e-3
CPB2-AS1	ENSG00000235903.7	9.49e-3
RP11-157E21.1	ENSG00000253593.2	9.51e-3
CYP27A1	ENSG00000135929.8	9.51e-3
LYNX1	ENSG00000180155.18	9.52e-3
RP11-392P7.6	ENSG00000247498.9	9.58e-3
CLEC5A	ENSG00000258227.6	9.61e-3
TMC3	ENSG00000188869.12	9.65e-3
CALHM3	ENSG00000183128.7	9.80e-3
IGFBP3	ENSG00000146674.14	9.86e-3
HACL1	ENSG00000131373.14	9.96e-3
BNIP3P17	ENSG00000271524.1	1.00e-2
C22orf34	ENSG00000188511.12	1.01e-2
RP3-425C14.4	ENSG00000279453.1	1.01e-2
GAL3ST1	ENSG00000128242.12	1.02e-2
RP11-113K21.3	ENSG00000255010.1	1.03e-2
GPR35	ENSG00000178623.11	1.04e-2
RAD54L	ENSG00000085999.11	1.06e-2
PLEKHG7	ENSG00000187510.7	1.06e-2
PCBP1-AS1	ENSG00000179818.13	1.08e-2
CTC-366B18.4	ENSG00000272040.1	1.08e-2
PHYHIPL	ENSG00000165443.11	1.09e-2
PIP5K1B	ENSG00000107242.17	1.09e-2
PLEKHA3P1	ENSG00000269800.1	1.10e-2
LINC01183	ENSG00000230561.3	1.10e-2
TOR2A	ENSG00000160404.17	1.12e-2
KLHDC3	ENSG00000124702.17	1.12e-2
CTD-2323K18.1	ENSG00000260269.5	1.12e-2
SLC8A3	ENSG00000100678.18	1.13e-2
MACROD2	ENSG00000172264.16	1.14e-2
RP11-131J3.1	ENSG00000224698.1	1.15e-2
RP11-483I13.2	ENSG00000238122.1	1.15e-2
CTA-445C9.14	ENSG00000261188.1	1.16e-2
COX17	ENSG00000138495.6	1.17e-2
RP11-408A13.3	ENSG00000273399.2	1.17e-2
RN7SL268P	ENSG00000244425.3	1.17e-2
TVP23A	ENSG00000166676.14	1.17e-2
RP11-134K13.4	ENSG00000271967.1	1.18e-2
NOC4L	ENSG00000184967.6	1.18e-2
RP11-709D24.8	ENSG00000278434.1	1.18e-2
LGI2	ENSG00000153012.11	1.18e-2
RP11-778J16.2	ENSG00000258357.1	1.22e-2
HTRA4	ENSG00000169495.4	1.23e-2
RP11-541N10.3	ENSG00000260461.1	1.24e-2
CTD-2325P2.4	ENSG00000259038.1	1.24e-2
HAUS7	ENSG00000213397.10	1.27e-2
EDN1	ENSG00000078401.6	1.28e-2
SRPK3	ENSG00000184343.10	1.28e-2
PTOV1	ENSG00000104960.15	1.30e-2
ZBTB4	ENSG00000174282.11	1.30e-2
GAPDHP72	ENSG00000216624.2	1.33e-2
FSTL4	ENSG00000053108.16	1.33e-2
ADCK5	ENSG00000173137.11	1.35e-2
POLR2H	ENSG00000163882.9	1.37e-2
STRA13	ENSG00000169689.14	1.37e-2
ITIH4	ENSG00000055955.15	1.38e-2
OTOA	ENSG00000155719.16	1.39e-2
SLC47A1	ENSG00000142494.13	1.40e-2
SIGLEC15	ENSG00000197046.11	1.42e-2
GPR153	ENSG00000158292.6	1.42e-2
SNRPA	ENSG00000077312.8	1.43e-2
DLGAP1-AS1	ENSG00000177337.7	1.43e-2
RP11-156L14.1	ENSG00000265702.1	1.43e-2
AC073043.1	ENSG00000232732.9	1.45e-2
RPL23AP87	ENSG00000232938.2	1.45e-2
BFSP2-AS1	ENSG00000249993.1	1.46e-2
RBAKDN	ENSG00000273313.1	1.47e-2
FAIM2	ENSG00000135472.8	1.47e-2
RP4-555D20.2	ENSG00000261786.1	1.47e-2
PRRT4	ENSG00000224940.8	1.48e-2
PMF1	ENSG00000160783.19	1.49e-2
HIST2H2AC	ENSG00000184260.5	1.49e-2
MRPS34	ENSG00000074071.13	1.50e-2
DGCR9	ENSG00000273032.1	1.52e-2
GPANK1	ENSG00000204438.10	1.52e-2
ZNF30	ENSG00000168661.14	1.53e-2
IGHV2-70	ENSG00000211974.3	1.54e-2
PPP2R3C	ENSG00000092020.10	1.54e-2
ANOS1	ENSG00000011201.10	1.54e-2
CDK5RAP2	ENSG00000136861.17	1.56e-2
RP4-555D20.1	ENSG00000280435.1	1.58e-2
BEND4	ENSG00000188848.15	1.58e-2
TIMM50	ENSG00000105197.10	1.59e-2
RP11-4L24.3	ENSG00000275450.1	1.59e-2
AQP11	ENSG00000178301.3	1.59e-2
RP11-63A1.1	ENSG00000261886.1	1.61e-2
CSF2RA	ENSG00000198223.14	1.62e-2
RGS6	ENSG00000182732.16	1.63e-2
RP11-855A2.1	ENSG00000279573.1	1.64e-2
AC016738.4	ENSG00000223947.1	1.64e-2
KB-1836B5.1	ENSG00000260949.1	1.64e-2
RPL9P29	ENSG00000267355.2	1.65e-2
COBL	ENSG00000106078.17	1.65e-2
