Gene Symbol	Gene ID	P-Value (Survival os)
PITRM1	ENSG00000107959.15	2.31e-4
SEC61A2	ENSG00000065665.20	2.73e-4
TTC26	ENSG00000105948.13	2.82e-4
ITGAE	ENSG00000083457.11	2.85e-4
RP11-156P1.3	ENSG00000262879.5	3.27e-4
BNIP3	ENSG00000176171.11	3.86e-4
PMS2CL	ENSG00000187953.10	4.00e-4
RP11-187O7.3	ENSG00000259124.1	4.13e-4
GTPBP10	ENSG00000105793.15	4.29e-4
RAD54B	ENSG00000197275.12	4.48e-4
LINC01534	ENSG00000225975.6	4.57e-4
HNRNPA1P59	ENSG00000230280.2	4.60e-4
TXNDC17	ENSG00000129235.10	4.60e-4
CTC-498J12.3	ENSG00000248664.1	4.92e-4
NT5C3B	ENSG00000141698.16	5.04e-4
TRIM24	ENSG00000122779.16	5.09e-4
CEP97	ENSG00000182504.10	5.11e-4
TFDP1	ENSG00000198176.12	5.11e-4
COX20	ENSG00000203667.9	5.26e-4
CASC5	ENSG00000137812.19	5.48e-4
KIAA0196	ENSG00000164961.15	5.53e-4
C7orf60	ENSG00000164603.11	5.55e-4
TRIM37	ENSG00000108395.13	5.55e-4
ZNF37A	ENSG00000075407.17	5.55e-4
PDK1	ENSG00000152256.13	5.64e-4
AHCTF1	ENSG00000153207.14	5.64e-4
NCAPG2	ENSG00000146918.19	5.82e-4
P4HB	ENSG00000185624.14	5.83e-4
ZNF346	ENSG00000113761.11	5.97e-4
AC073133.1	ENSG00000233878.1	5.98e-4
LRWD1	ENSG00000161036.10	5.99e-4
CALU	ENSG00000128595.16	6.11e-4
PSMA2	ENSG00000256646.7	6.15e-4
ANAPC7	ENSG00000196510.12	6.21e-4
PTGES3L	ENSG00000267060.5	6.21e-4
SLC50A1	ENSG00000169241.17	6.34e-4
ANKRD6	ENSG00000135299.16	6.41e-4
SNAP29	ENSG00000099940.11	6.43e-4
RAD17	ENSG00000152942.18	6.52e-4
ESYT2	ENSG00000117868.15	6.58e-4
HSPA9P1	ENSG00000226666.1	6.68e-4
C7orf49	ENSG00000122783.16	6.68e-4
ZBTB8OS	ENSG00000176261.15	6.72e-4
SYNGR3	ENSG00000127561.14	6.78e-4
TARS2	ENSG00000143374.14	6.88e-4
ELOVL6	ENSG00000170522.9	6.90e-4
DBF4B	ENSG00000161692.17	7.05e-4
AP4M1	ENSG00000221838.9	7.13e-4
HDAC3	ENSG00000171720.9	7.30e-4
MDM1	ENSG00000111554.14	7.32e-4
CDK7	ENSG00000134058.10	7.51e-4
SLC16A1	ENSG00000155380.11	7.52e-4
PRTFDC1	ENSG00000099256.18	7.92e-4
TCP11L1	ENSG00000176148.15	8.03e-4
FAM104B	ENSG00000182518.13	8.08e-4
TPT1P9	ENSG00000234782.3	8.22e-4
ZKSCAN5	ENSG00000196652.11	8.36e-4
DALRD3	ENSG00000178149.16	8.40e-4
WDR76	ENSG00000092470.11	8.42e-4
MEA1	ENSG00000124733.3	8.46e-4
CDC25A	ENSG00000164045.11	8.50e-4
RUFY1	ENSG00000176783.14	8.51e-4
CASP2	ENSG00000106144.19	8.65e-4
USP4	ENSG00000114316.12	8.66e-4
RAB23	ENSG00000112210.11	8.72e-4
