Gene Symbol	Gene ID	P-Value (Survival os)
DKK1	ENSG00000107984.9	3.54e-8
FGD3	ENSG00000127084.17	1.78e-7
FCGBP	ENSG00000275395.4	9.87e-7
SEC61G	ENSG00000132432.13	2.04e-6
PITPNM3	ENSG00000091622.15	2.86e-6
TRAV36DV7	ENSG00000211815.3	5.04e-6
FOXD1	ENSG00000251493.3	5.83e-6
CCR4	ENSG00000183813.6	9.06e-6
TMSB4Y	ENSG00000154620.5	1.01e-5
MCTS1	ENSG00000232119.7	1.29e-5
C10orf105	ENSG00000214688.4	1.40e-5
NTMT1	ENSG00000148335.14	1.51e-5
RP11-59D5__B.2	ENSG00000236345.1	2.07e-5
ZAP70	ENSG00000115085.13	2.57e-5
COL6A5	ENSG00000172752.14	2.57e-5
AC007879.2	ENSG00000234902.6	2.58e-5
CALML5	ENSG00000178372.7	2.90e-5
FOXA2	ENSG00000125798.14	2.91e-5
SLC25A45	ENSG00000162241.12	3.04e-5
AC005523.3	ENSG00000268536.1	3.38e-5
HN1	ENSG00000189159.15	3.40e-5
CD27	ENSG00000139193.3	3.41e-5
TBC1D14	ENSG00000132405.18	3.87e-5
RP11-424G14.1	ENSG00000260197.1	4.11e-5
CRLF2	ENSG00000205755.10	4.27e-5
MS4A1	ENSG00000156738.17	4.58e-5
USP9Y	ENSG00000114374.12	4.94e-5
TRAV8-6	ENSG00000211795.3	5.29e-5
SEC11A	ENSG00000140612.13	5.32e-5
NUTF2	ENSG00000102898.11	5.35e-5
PPFIBP2	ENSG00000166387.11	5.38e-5
ZNF558	ENSG00000167785.8	5.66e-5
RP11-480I12.7	ENSG00000234996.3	5.66e-5
MASP1	ENSG00000127241.16	5.72e-5
CCR7	ENSG00000126353.3	5.77e-5
TP53INP1	ENSG00000164938.13	6.06e-5
CCDC86	ENSG00000110104.11	6.06e-5
IGHV3-49	ENSG00000211965.3	6.29e-5
RP1-37N7.1	ENSG00000264177.1	6.43e-5
PGK1	ENSG00000102144.13	6.53e-5
IRF4	ENSG00000137265.14	7.03e-5
MAU2	ENSG00000129933.20	7.18e-5
SLC35E2B	ENSG00000189339.11	7.52e-5
TNFRSF4	ENSG00000186827.10	7.71e-5
LA16c-390H2.4	ENSG00000262312.2	7.74e-5
AC007879.7	ENSG00000229647.1	7.94e-5
SSBP3-AS1	ENSG00000198711.5	8.00e-5
FCRL3	ENSG00000160856.20	8.52e-5
ZNF557	ENSG00000130544.11	8.53e-5
IGHV3-13	ENSG00000211942.3	8.64e-5
INPP5D	ENSG00000168918.13	8.71e-5
CELSR3	ENSG00000008300.14	8.95e-5
LINC00582	ENSG00000229228.1	9.00e-5
EVPLL	ENSG00000214860.4	9.02e-5
PRDX6	ENSG00000117592.8	9.06e-5
TRAV17	ENSG00000211797.2	9.11e-5
IGLV4-60	ENSG00000211639.2	9.11e-5
LRRC59	ENSG00000108829.9	9.20e-5
ATXN7L2	ENSG00000162650.15	9.61e-5
CUL9	ENSG00000112659.13	9.72e-5
EFNB2	ENSG00000125266.6	9.79e-5
SEPT1	ENSG00000180096.11	9.89e-5
AVPR2	ENSG00000126895.13	1.00e-4
SYT14	ENSG00000143469.16	1.03e-4
HOXB9	ENSG00000170689.9	1.03e-4
RP11-539L10.2	ENSG00000246526.2	1.05e-4
HPRT1	ENSG00000165704.14	1.06e-4
IGHV3-7	ENSG00000211938.2	1.06e-4
GZMM	ENSG00000197540.7	1.08e-4
AC020951.1	ENSG00000278897.1	1.10e-4
PPFIA3	ENSG00000177380.13	1.11e-4
ZNF266	ENSG00000174652.17	1.12e-4
CD6	ENSG00000013725.14	1.14e-4
LRRC48	ENSG00000171962.17	1.16e-4
TRBV11-2	ENSG00000241657.1	1.21e-4
IGLV3-9	ENSG00000211670.2	1.21e-4
PARP15	ENSG00000173200.12	1.23e-4
FAM215B	ENSG00000232300.1	1.25e-4
NAT10	ENSG00000135372.8	1.26e-4
LA16c-313D11.12	ENSG00000261659.2	1.29e-4
SESN1	ENSG00000080546.13	1.31e-4
RP11-284N8.3	ENSG00000259834.1	1.34e-4
AIG1	ENSG00000146416.16	1.45e-4
FRMD5	ENSG00000171877.19	1.48e-4
PHB	ENSG00000167085.11	1.48e-4
LIMA1	ENSG00000050405.13	1.49e-4
RP11-102K13.5	ENSG00000278309.1	1.49e-4
RP11-726G1.1	ENSG00000214776.9	1.49e-4
RP11-1399P15.1	ENSG00000273445.1	1.50e-4
MUM1L1	ENSG00000157502.12	1.50e-4
MRPS23	ENSG00000181610.12	1.50e-4
ZC3H12D	ENSG00000178199.13	1.56e-4
ZNF441	ENSG00000197044.10	1.57e-4
