Gene Symbol	Gene ID	P-Value (Survival os)
CTD-2033C11.1	ENSG00000269961.1	4.36e-5
AD001527.7	ENSG00000270760.1	1.46e-4
FAM86KP	ENSG00000163612.10	4.47e-4
RP11-209M4.1	ENSG00000267253.1	9.00e-4
PTGER3	ENSG00000050628.20	9.41e-4
AP003774.6	ENSG00000231680.1	9.95e-4
FAM177A1	ENSG00000151327.12	1.00e-3
RP11-574F21.2	ENSG00000228606.1	1.05e-3
CXCL17	ENSG00000189377.8	1.14e-3
FUT4	ENSG00000196371.3	1.27e-3
RNF151	ENSG00000179580.9	1.32e-3
RP11-506B6.6	ENSG00000226440.7	1.33e-3
RP11-433O3.1	ENSG00000225356.3	1.71e-3
B4GALT5	ENSG00000158470.5	1.82e-3
COL4A4	ENSG00000081052.11	2.07e-3
RP11-626G11.3	ENSG00000261759.1	2.17e-3
PACS1	ENSG00000175115.11	2.32e-3
SENP7	ENSG00000138468.15	2.33e-3
MPDU1	ENSG00000129255.14	2.33e-3
RP11-1C8.5	ENSG00000261670.1	2.34e-3
RP11-108L7.14	ENSG00000273476.1	2.36e-3
RP11-264I13.2	ENSG00000236199.1	2.43e-3
RP11-110G21.1	ENSG00000228801.5	2.48e-3
ASIC4	ENSG00000072182.12	2.50e-3
NCOA4	ENSG00000266412.5	2.58e-3
FAM182A	ENSG00000125804.13	2.63e-3
RP13-467H17.1	ENSG00000261693.1	2.66e-3
RBAK	ENSG00000146587.17	2.67e-3
AC016712.2	ENSG00000235225.1	2.87e-3
AC104534.3	ENSG00000268083.5	2.89e-3
AC011330.5	ENSG00000249839.1	2.92e-3
NUDCD3	ENSG00000015676.17	2.96e-3
COMMD2	ENSG00000114744.8	3.05e-3
XXbac-B476C20.9	ENSG00000225335.3	3.13e-3
RP11-527J8.1	ENSG00000273306.1	3.19e-3
EIF5A	ENSG00000132507.17	3.22e-3
CCDC53	ENSG00000120860.10	3.22e-3
RP11-274H2.3	ENSG00000240032.1	3.25e-3
