Gene Symbol	Gene ID	P-Value (Survival os)
ISL2	ENSG00000159556.9	7.76e-14
OSR2	ENSG00000164920.9	9.14e-14
HIST1H3G	ENSG00000273983.1	9.39e-14
WEE1	ENSG00000166483.10	2.49e-13
TNFRSF11B	ENSG00000164761.8	4.93e-13
CABP4	ENSG00000175544.13	8.50e-13
TMEM71	ENSG00000165071.14	9.55e-13
HIST1H2BJ	ENSG00000124635.8	1.81e-12
AF131216.5	ENSG00000255020.1	2.66e-12
CCDC18	ENSG00000122483.17	3.88e-12
LINC01023	ENSG00000272523.1	6.62e-12
ANG	ENSG00000214274.9	7.47e-12
TP53I13	ENSG00000167543.15	7.70e-12
RP11-622C24.2	ENSG00000277152.1	9.64e-12
CRTAC1	ENSG00000095713.13	1.18e-11
EN1	ENSG00000163064.6	1.19e-11
MGAT4C	ENSG00000182050.13	1.62e-11
IQGAP2	ENSG00000145703.15	1.64e-11
SFRP2	ENSG00000145423.4	1.68e-11
HIST1H2BK	ENSG00000197903.7	1.78e-11
ZNF217	ENSG00000171940.13	1.84e-11
EMILIN3	ENSG00000183798.4	2.29e-11
HOXA3	ENSG00000105997.22	2.49e-11
EFNB1	ENSG00000090776.5	2.51e-11
OTP	ENSG00000171540.7	3.02e-11
LINC00671	ENSG00000213373.7	3.32e-11
RAB42	ENSG00000188060.6	3.32e-11
COL4A2	ENSG00000134871.17	3.59e-11
HIST1H3H	ENSG00000278828.1	4.11e-11
SERPINA5	ENSG00000188488.13	4.51e-11
RP11-141O11.2	ENSG00000249352.4	4.56e-11
LINC00994	ENSG00000189196.4	4.57e-11
SMS	ENSG00000102172.15	4.61e-11
PTGFRN	ENSG00000134247.9	4.66e-11
CRNDE	ENSG00000245694.8	4.81e-11
AC062021.1	ENSG00000226939.1	5.01e-11
CCDC152	ENSG00000198865.9	5.41e-11
MYD88	ENSG00000172936.12	5.42e-11
PCOLCE	ENSG00000106333.12	5.75e-11
DRAIC	ENSG00000245750.7	5.86e-11
IGFBP2	ENSG00000115457.9	6.34e-11
MACC1	ENSG00000183742.12	6.48e-11
FSTL5	ENSG00000168843.13	6.83e-11
PLSCR1	ENSG00000188313.12	7.47e-11
AC093802.1	ENSG00000220256.3	7.98e-11
IGF2BP2	ENSG00000073792.15	8.09e-11
MAP2K3	ENSG00000034152.18	8.58e-11
CEP135	ENSG00000174799.10	8.73e-11
HOXD10	ENSG00000128710.5	9.32e-11
CCNA2	ENSG00000145386.9	9.52e-11
COLGALT1	ENSG00000130309.10	9.81e-11
LAMA2	ENSG00000196569.11	1.18e-10
ARAP3	ENSG00000120318.15	1.37e-10
GLA	ENSG00000102393.9	1.40e-10
GNG12	ENSG00000172380.5	1.58e-10
FNDC3B	ENSG00000075420.12	1.70e-10
LINC00641	ENSG00000258441.1	2.02e-10
RP11-903H12.5	ENSG00000259171.1	2.28e-10
PYGL	ENSG00000100504.16	2.34e-10
RASL10A	ENSG00000100276.9	2.34e-10
ANGPTL2	ENSG00000136859.9	2.51e-10
SEMA4G	ENSG00000095539.15	2.69e-10
TRIP10	ENSG00000125733.17	2.70e-10
HSPB1	ENSG00000106211.8	2.87e-10
PLOD1	ENSG00000083444.16	2.99e-10
GJC1	ENSG00000182963.9	3.01e-10
DUSP10	ENSG00000143507.17	3.12e-10
IFITM3	ENSG00000142089.15	3.23e-10
