Gene Symbol	Gene ID	P-Value (Survival os)
RRN3P2	ENSG00000103472.9	4.53e-6
RP11-258F1.2	ENSG00000279428.1	5.51e-6
RP4-669H2.1	ENSG00000231703.2	1.80e-5
RPP25	ENSG00000178718.6	1.95e-5
AEBP1	ENSG00000106624.8	3.09e-5
RPL7AP64	ENSG00000213876.4	5.07e-5
ACTR3C	ENSG00000106526.10	5.18e-5
PTPRN	ENSG00000054356.13	6.53e-5
H2AFJ	ENSG00000246705.4	7.28e-5
RPL39L	ENSG00000163923.9	1.11e-4
PLA2G4C-AS1	ENSG00000269420.5	1.17e-4
RP11-923I11.8	ENSG00000278451.1	1.25e-4
RP11-1008C21.1	ENSG00000259225.6	1.34e-4
DNAJC30	ENSG00000176410.7	1.41e-4
RP11-426C22.8	ENSG00000277999.1	1.66e-4
DBNL	ENSG00000136279.18	1.71e-4
ADAMTS14	ENSG00000138316.10	1.75e-4
HLA-K	ENSG00000230795.2	1.79e-4
RP11-173P15.10	ENSG00000276188.1	1.91e-4
KCNN4	ENSG00000104783.11	1.96e-4
LRRC61	ENSG00000127399.14	1.99e-4
OPN3	ENSG00000054277.12	2.02e-4
RP11-90L1.8	ENSG00000275880.1	2.09e-4
RNF185-AS1	ENSG00000254835.1	2.11e-4
NKX3-1	ENSG00000167034.9	2.25e-4
ULBP2	ENSG00000131015.4	2.46e-4
GAPDHP40	ENSG00000248626.1	2.68e-4
ZDHHC12	ENSG00000160446.18	2.77e-4
WBSCR22	ENSG00000071462.11	2.91e-4
MAP3K6	ENSG00000142733.14	2.98e-4
RETN	ENSG00000104918.7	3.12e-4
TSHZ2	ENSG00000182463.15	3.25e-4
RP5-1136G13.2	ENSG00000273314.1	3.25e-4
RRAGB	ENSG00000083750.12	4.11e-4
SMAGP	ENSG00000170545.16	4.24e-4
CA14	ENSG00000118298.10	4.31e-4
ZIC3	ENSG00000156925.11	4.44e-4
TXNDC11	ENSG00000153066.12	4.52e-4
BANK1	ENSG00000153064.11	4.60e-4
ADAMTSL4	ENSG00000143382.13	4.62e-4
MED10	ENSG00000133398.3	4.68e-4
CD81	ENSG00000110651.11	4.69e-4
HIST3H2A	ENSG00000181218.5	4.76e-4
AC108463.2	ENSG00000227992.1	4.84e-4
TMEM191C	ENSG00000206140.9	4.88e-4
MT1H	ENSG00000205358.3	4.89e-4
CLEC18B	ENSG00000140839.11	5.08e-4
TRAPPC1	ENSG00000170043.11	5.25e-4
IFI30	ENSG00000216490.3	5.91e-4
RP11-317B7.2	ENSG00000249006.1	5.99e-4
STC1	ENSG00000159167.11	6.32e-4
RP11-762I7.5	ENSG00000257390.5	6.55e-4
LBH	ENSG00000213626.11	6.59e-4
RP11-465L10.10	ENSG00000204044.6	6.69e-4
PLXND1	ENSG00000004399.12	7.13e-4
RP11-419I17.1	ENSG00000270154.1	7.19e-4
ZBED6CL	ENSG00000188707.5	7.45e-4
TSPAN13	ENSG00000106537.7	7.48e-4
CTD-2514C3.1	ENSG00000204556.4	7.62e-4
SDK1	ENSG00000146555.18	7.93e-4
TIMM22	ENSG00000177370.4	8.00e-4
HOXB2	ENSG00000173917.10	8.20e-4
P4HA2	ENSG00000072682.18	8.47e-4
SEMA3F	ENSG00000001617.11	8.47e-4
RAET1G	ENSG00000203722.7	9.07e-4
DTX2	ENSG00000091073.19	9.08e-4
NACAD	ENSG00000136274.8	9.14e-4
RP11-800A3.7	ENSG00000257038.1	9.20e-4
AC034243.1	ENSG00000253404.1	9.42e-4
STOML1	ENSG00000067221.13	9.67e-4
SAMD13	ENSG00000203943.8	9.92e-4
CTD-2587H24.5	ENSG00000267577.1	1.02e-3
GALE	ENSG00000117308.14	1.03e-3
RP11-80A15.1	ENSG00000258744.1	1.06e-3
TNNC2	ENSG00000101470.9	1.10e-3
DHH	ENSG00000139549.2	1.10e-3
ANKK1	ENSG00000170209.4	1.11e-3
MRPS33	ENSG00000090263.15	1.14e-3
CLDN16	ENSG00000113946.3	1.14e-3
CCDC64	ENSG00000135127.11	1.15e-3
TRIM47	ENSG00000132481.6	1.16e-3
FUCA1	ENSG00000179163.11	1.19e-3
HOXC6	ENSG00000197757.7	1.19e-3
AGAP2-AS1	ENSG00000255737.2	1.20e-3
A2M-AS1	ENSG00000245105.2	1.22e-3
DCSTAMP	ENSG00000164935.6	1.23e-3
STPG1	ENSG00000001460.17	1.24e-3
LYPLA2P2	ENSG00000269153.1	1.24e-3
TAX1BP3	ENSG00000213977.7	1.26e-3
MICALL2	ENSG00000164877.18	1.27e-3
GUCY2C	ENSG00000070019.4	1.29e-3
FCRLB	ENSG00000162746.14	1.29e-3
KERA	ENSG00000139330.5	1.30e-3
MLPH	ENSG00000115648.13	1.31e-3
GHDC	ENSG00000167925.15	1.33e-3
AC113404.1	ENSG00000254893.5	1.34e-3
SFN	ENSG00000175793.11	1.35e-3
ARMC10P1	ENSG00000178660.6	1.39e-3
NMB	ENSG00000197696.9	1.41e-3
BMS1P2	ENSG00000251079.6	1.42e-3
CGB7	ENSG00000196337.10	1.43e-3
TRUB1	ENSG00000165832.5	1.46e-3
TWSG1	ENSG00000128791.11	1.48e-3
RP1-178F10.1	ENSG00000260647.1	1.48e-3
NUDT18	ENSG00000275074.1	1.54e-3
MRPL36	ENSG00000171421.12	1.56e-3
SLC17A9	ENSG00000101194.17	1.60e-3
RP11-350N15.3	ENSG00000254981.1	1.62e-3
RPSAP58	ENSG00000225178.5	1.69e-3
MYO1A	ENSG00000166866.12	1.70e-3
CCM2	ENSG00000136280.15	1.72e-3
RP11-66N11.8	ENSG00000260081.1	1.76e-3
COL22A1	ENSG00000169436.16	1.76e-3
ANKEF1	ENSG00000132623.15	1.77e-3
SLC39A13	ENSG00000165915.13	1.83e-3
RP1-47M23.3	ENSG00000280135.1	1.84e-3
ORMDL2	ENSG00000123353.9	1.86e-3
CCR7	ENSG00000126353.3	1.86e-3
CES1	ENSG00000198848.12	1.88e-3
AC026150.6	ENSG00000260784.1	1.89e-3
BET1	ENSG00000105829.11	1.89e-3
ITPKA	ENSG00000137825.10	1.91e-3
WFDC2	ENSG00000101443.17	1.91e-3
PLK2	ENSG00000145632.14	1.93e-3
ITGB7	ENSG00000139626.15	1.94e-3
MYH16	ENSG00000002079.12	1.96e-3
FOXP3	ENSG00000049768.14	1.98e-3
EQTN	ENSG00000120160.10	2.00e-3
HAS1	ENSG00000105509.10	2.01e-3
TBC1D10C	ENSG00000175463.11	2.05e-3
SLC6A6	ENSG00000131389.16	2.05e-3
ADCK2	ENSG00000133597.9	2.05e-3
CRELD1	ENSG00000163703.17	2.07e-3
AC005264.2	ENSG00000267551.3	2.08e-3
RARRES1	ENSG00000118849.9	2.09e-3
CAPN8	ENSG00000203697.11	2.14e-3
NSUN5	ENSG00000130305.16	2.16e-3
LSP1	ENSG00000130592.13	2.18e-3
LL21NC02-1C16.2	ENSG00000272825.1	2.22e-3
PFN1P1	ENSG00000233328.3	2.23e-3
SPAG7	ENSG00000091640.7	2.24e-3
PYROXD2	ENSG00000119943.10	2.26e-3
LOXL1-AS1	ENSG00000261801.5	2.27e-3
ANO9	ENSG00000185101.12	2.27e-3
CDRT4	ENSG00000239704.10	2.28e-3
LINC01124	ENSG00000222033.1	2.29e-3
ZBTB6	ENSG00000186130.4	2.31e-3
IFNWP19	ENSG00000238271.2	2.33e-3
TCAF2	ENSG00000170379.19	2.34e-3
RP11-489D6.2	ENSG00000259446.5	2.35e-3
GPC5	ENSG00000179399.13	2.36e-3
LEF1-AS1	ENSG00000232021.6	2.38e-3
RP11-930P14.2	ENSG00000260588.1	2.42e-3
AC008132.13	ENSG00000161103.11	2.43e-3
HOXC8	ENSG00000037965.5	2.44e-3
C7orf25	ENSG00000136197.12	2.48e-3
HOXC-AS3	ENSG00000251151.2	2.49e-3
RP11-800A3.4	ENSG00000260401.1	2.54e-3
RP11-17A1.3	ENSG00000246225.6	2.54e-3
MPZL2	ENSG00000149573.8	2.56e-3
RP11-309L24.6	ENSG00000224163.4	2.58e-3
RP3-412A9.16	ENSG00000273387.1	2.58e-3
SEC11C	ENSG00000166562.8	2.59e-3
POLR2J4	ENSG00000272655.1	2.59e-3
RP11-60A24.3	ENSG00000265542.5	2.61e-3
AKR1B1	ENSG00000085662.13	2.62e-3
TMEM17	ENSG00000186889.9	2.66e-3
HOXC-AS2	ENSG00000250133.2	2.67e-3
INSL3	ENSG00000248099.3	2.67e-3
RPLP0P2	ENSG00000243742.5	2.69e-3
AC109642.1	ENSG00000235997.2	2.70e-3
CD81-AS1	ENSG00000238184.1	2.71e-3
RP11-124N14.3	ENSG00000234961.1	2.72e-3
OSMR	ENSG00000145623.12	2.74e-3
RP5-963E22.6	ENSG00000273821.1	2.76e-3
FAM20C	ENSG00000177706.8	2.77e-3
OSBPL5	ENSG00000021762.19	2.82e-3
SPIB	ENSG00000269404.6	2.82e-3
EPS8L2	ENSG00000177106.14	2.83e-3
SH2D2A	ENSG00000027869.11	2.85e-3
RP11-573D15.8	ENSG00000197099.8	2.90e-3
NNAT	ENSG00000053438.8	2.90e-3
CTD-3088G3.8	ENSG00000188897.8	2.92e-3
PTRF	ENSG00000177469.12	2.92e-3
SERPINA5	ENSG00000188488.13	2.97e-3
TNFRSF11B	ENSG00000164761.8	3.01e-3
RP4-570O12.3	ENSG00000279565.1	3.01e-3
AP1S1	ENSG00000106367.13	3.03e-3
RNF7	ENSG00000114125.13	3.04e-3
RP4-647J21.1	ENSG00000260997.1	3.05e-3
NDUFB2	ENSG00000090266.12	3.06e-3
RP11-195F19.30	ENSG00000261215.1	3.16e-3
RP11-159N11.4	ENSG00000270179.1	3.17e-3
FRY-AS1	ENSG00000237637.1	3.21e-3
BTF3L4P2	ENSG00000213189.5	3.25e-3
CCDC74A	ENSG00000163040.14	3.28e-3
MPZL3	ENSG00000160588.9	3.29e-3
ARPC1B	ENSG00000130429.12	3.30e-3
MYO1C	ENSG00000197879.14	3.32e-3
LGALS8-AS1	ENSG00000223776.5	3.32e-3
RP11-455J20.3	ENSG00000273240.1	3.33e-3
MGMT	ENSG00000170430.9	3.34e-3
NOD1	ENSG00000106100.10	3.35e-3
RP11-514O12.4	ENSG00000249141.1	3.37e-3
C1R	ENSG00000159403.15	3.37e-3
RORC	ENSG00000143365.16	3.38e-3
RP11-54O7.18	ENSG00000273443.1	3.39e-3
MALT1	ENSG00000172175.12	3.41e-3
RP11-218M22.1	ENSG00000177406.4	3.42e-3
VDR	ENSG00000111424.10	3.45e-3
RP11-23J9.5	ENSG00000254876.5	3.47e-3
TMEM177	ENSG00000144120.12	3.47e-3
RP11-961A15.3	ENSG00000277597.1	3.54e-3
RP5-1070A16.1	ENSG00000226053.1	3.55e-3
REP15	ENSG00000174236.3	3.58e-3
RP11-213H15.4	ENSG00000271762.1	3.60e-3
CTD-2589M5.5	ENSG00000254639.1	3.61e-3
AC145124.2	ENSG00000255495.1	3.61e-3
CTD-2325A15.5	ENSG00000272234.1	3.64e-3
RP11-294C11.4	ENSG00000281179.1	3.66e-3
STYXL1	ENSG00000127952.16	3.66e-3
IGHV1OR15-1	ENSG00000270505.1	3.66e-3
NPC2	ENSG00000119655.8	3.69e-3
DUSP6	ENSG00000139318.7	3.71e-3
PAGE2B	ENSG00000238269.8	3.72e-3
RNASE2	ENSG00000169385.2	3.73e-3
TUSC1	ENSG00000198680.4	3.76e-3
PDZK1IP1	ENSG00000162366.7	3.79e-3
RELL2	ENSG00000164620.8	3.81e-3
NXF3	ENSG00000147206.16	3.86e-3
RP11-214O1.3	ENSG00000266378.1	3.91e-3
RP4-584D14.7	ENSG00000261305.1	3.91e-3
RIMBP3	ENSG00000275793.1	3.96e-3
FAM83G	ENSG00000188522.14	3.99e-3
RFX8	ENSG00000196460.12	3.99e-3
MARCH5	ENSG00000198060.9	4.03e-3
NAGLU	ENSG00000108784.9	4.06e-3
CXCL5	ENSG00000163735.6	4.09e-3
ZNF706	ENSG00000120963.11	4.17e-3
RP11-262A16.1	ENSG00000275322.1	4.23e-3
TPTE2P1	ENSG00000253771.5	4.24e-3
FBLN1	ENSG00000077942.17	4.24e-3
ACSS2	ENSG00000131069.19	4.25e-3
EGFLAM	ENSG00000164318.17	4.30e-3
RP11-879F14.2	ENSG00000267279.1	4.32e-3
RFC2	ENSG00000049541.10	4.37e-3
ZG16B	ENSG00000162078.11	4.41e-3
TMEM200B	ENSG00000253304.1	4.43e-3
ZC2HC1C	ENSG00000119703.13	4.45e-3
CYTH4	ENSG00000100055.20	4.47e-3
AP000925.2	ENSG00000235286.1	4.54e-3
TTC22	ENSG00000006555.10	4.55e-3
TMEM11	ENSG00000178307.9	4.57e-3
GPBAR1	ENSG00000179921.14	4.60e-3
RPSAP52	ENSG00000241749.4	4.63e-3
RP11-334E6.12	ENSG00000263873.1	4.71e-3
HIST1H2AK	ENSG00000275221.1	4.75e-3
RP1-86C11.7	ENSG00000272468.1	4.75e-3
RP11-229P13.27	ENSG00000279073.3	4.76e-3
LILRB2	ENSG00000131042.13	4.78e-3
MRPL23	ENSG00000214026.10	4.83e-3
RPL5P9	ENSG00000236330.1	4.86e-3
MSTN	ENSG00000138379.4	4.86e-3
EMP2	ENSG00000213853.9	4.91e-3
COL6A1	ENSG00000142156.14	4.93e-3
RPA3	ENSG00000106399.11	4.96e-3
SMKR1	ENSG00000240204.2	4.97e-3
SLC9A1	ENSG00000090020.10	5.00e-3
IRS1	ENSG00000169047.5	5.03e-3
LINC01465	ENSG00000221949.5	5.07e-3
AP000695.4	ENSG00000233818.1	5.07e-3
HOXB9	ENSG00000170689.9	5.08e-3
SEPT2	ENSG00000168385.17	5.09e-3
SIL1	ENSG00000120725.12	5.10e-3
AP000282.2	ENSG00000227757.3	5.13e-3
GS1-166A23.2	ENSG00000272361.2	5.15e-3
TMEM150A	ENSG00000168890.13	5.16e-3
RP5-1139B12.2	ENSG00000269890.1	5.20e-3
RAET1L	ENSG00000155918.7	5.24e-3
PXN	ENSG00000089159.15	5.26e-3
ELF3	ENSG00000163435.15	5.29e-3
RP11-94C24.13	ENSG00000275897.1	5.33e-3
PDIA3	ENSG00000167004.12	5.35e-3
RP11-209D14.2	ENSG00000261033.1	5.42e-3
RP4-694B14.8	ENSG00000278383.1	5.46e-3
UBXN10	ENSG00000162543.5	5.46e-3
PELO	ENSG00000152684.10	5.50e-3
POR	ENSG00000127948.13	5.52e-3
CTB-35F21.1	ENSG00000249526.1	5.52e-3
EXOC3L2	ENSG00000130201.7	5.54e-3
TRNP1	ENSG00000253368.3	5.55e-3
RP11-236L14.2	ENSG00000273771.1	5.59e-3
TTC16	ENSG00000167094.15	5.59e-3
FER1L4	ENSG00000088340.15	5.63e-3
CD79B	ENSG00000007312.12	5.66e-3
P4HB	ENSG00000185624.14	5.67e-3
AL450992.2	ENSG00000234614.1	5.69e-3
SPIDR	ENSG00000164808.16	5.70e-3
SAA2	ENSG00000134339.8	5.71e-3
TULP2	ENSG00000104804.7	5.73e-3
ADGRD1	ENSG00000111452.12	5.73e-3
LIPT2	ENSG00000175536.6	5.74e-3
STK32C	ENSG00000165752.16	5.74e-3
