Gene Symbol	Gene ID	P-Value (Survival os)
DKK1	ENSG00000107984.9	5.83e-8
ERO1L	ENSG00000197930.12	4.17e-7
STEAP1	ENSG00000164647.8	4.94e-7
INPP5J	ENSG00000185133.13	2.27e-6
ANLN	ENSG00000011426.10	2.60e-6
RP11-462L8.1	ENSG00000229656.6	2.97e-6
CASC5	ENSG00000137812.19	3.01e-6
FAM207BP	ENSG00000228797.2	3.23e-6
RP4-803A2.2	ENSG00000239670.1	3.88e-6
S100A10	ENSG00000197747.8	4.88e-6
DYNLL1	ENSG00000088986.10	5.95e-6
UBE2V2	ENSG00000169139.11	7.38e-6
PKMYT1	ENSG00000127564.16	8.73e-6
HMMR	ENSG00000072571.19	8.82e-6
PSMA1	ENSG00000129084.17	8.96e-6
CENPU	ENSG00000151725.11	9.28e-6
TFAP2A	ENSG00000137203.10	9.67e-6
C1QTNF6	ENSG00000133466.13	1.22e-5
PSMC6	ENSG00000100519.11	1.22e-5
MRPL13	ENSG00000172172.7	1.24e-5
KCNF1	ENSG00000162975.4	1.27e-5
INTS7	ENSG00000143493.12	1.33e-5
SSBP1	ENSG00000106028.10	1.39e-5
H2AFZ	ENSG00000164032.11	1.41e-5
RRM2	ENSG00000171848.13	1.52e-5
ESYT3	ENSG00000158220.13	1.52e-5
SNTG2	ENSG00000172554.11	1.60e-5
PFKP	ENSG00000067057.16	1.64e-5
CLEC12B	ENSG00000256660.5	1.68e-5
CCNA2	ENSG00000145386.9	1.72e-5
METTL5	ENSG00000138382.13	2.04e-5
S100A16	ENSG00000188643.10	2.04e-5
RP11-102K13.5	ENSG00000278309.1	2.18e-5
SKA3	ENSG00000165480.15	2.18e-5
FKBP4	ENSG00000004478.7	2.23e-5
PERP	ENSG00000112378.11	2.27e-5
ZC3H12D	ENSG00000178199.13	2.40e-5
SLC2A1	ENSG00000117394.19	2.53e-5
PITX3	ENSG00000107859.9	2.77e-5
CDK1	ENSG00000170312.15	2.79e-5
LDHA	ENSG00000134333.13	2.82e-5
TLE1	ENSG00000196781.13	2.93e-5
KIF18A	ENSG00000121621.6	3.03e-5
GTF3C6	ENSG00000155115.6	3.21e-5
STRIP2	ENSG00000128578.9	3.30e-5
TUBA1C	ENSG00000167553.14	3.63e-5
RUVBL2	ENSG00000183207.12	3.91e-5
FAM83A-AS1	ENSG00000204949.8	3.94e-5
FAM215A	ENSG00000267496.4	3.98e-5
FAM83D	ENSG00000101447.13	4.00e-5
PWP1	ENSG00000136045.11	4.09e-5
ANKRD65	ENSG00000235098.8	4.10e-5
TRBV12-5	ENSG00000275158.1	4.12e-5
BUB1B	ENSG00000156970.12	4.17e-5
H2AFX	ENSG00000188486.3	4.46e-5
CKS1B	ENSG00000173207.12	4.72e-5
GAS6-AS1	ENSG00000233695.2	4.76e-5
AVEN	ENSG00000169857.7	4.76e-5
DRP2	ENSG00000102385.12	5.29e-5
PLK1	ENSG00000166851.14	5.36e-5
ZNF207	ENSG00000010244.16	5.47e-5
LYPD3	ENSG00000124466.8	5.64e-5
IRX5	ENSG00000176842.14	6.03e-5
