Gene Symbol	Gene ID	P-Value (Survival os)
NXNL2	ENSG00000130045.15	9.04e-6
LEP	ENSG00000174697.4	1.60e-5
RP4-614O4.12	ENSG00000269202.1	4.24e-5
LINC01578	ENSG00000272888.5	5.38e-5
CYP19A1	ENSG00000137869.13	7.66e-5
ZEB1-AS1	ENSG00000237036.4	9.93e-5
RP11-31F15.2	ENSG00000238198.1	1.10e-4
NAT1	ENSG00000171428.13	1.48e-4
RP11-290O12.2	ENSG00000280241.3	1.55e-4
RPLP0P2	ENSG00000243742.5	1.80e-4
SPINK4	ENSG00000122711.8	1.84e-4
NDC1	ENSG00000058804.11	1.88e-4
YRDC	ENSG00000196449.3	1.89e-4
DNM1	ENSG00000106976.18	1.98e-4
RP11-108K3.2	ENSG00000259306.2	2.00e-4
APC2	ENSG00000115266.11	2.02e-4
C20orf203	ENSG00000198547.8	2.09e-4
RIMKLB	ENSG00000166532.15	2.38e-4
PPFIA4	ENSG00000143847.15	2.48e-4
RP11-367H1.1	ENSG00000273113.1	2.52e-4
RP11-563J2.3	ENSG00000212743.2	2.74e-4
RP11-323F24.3	ENSG00000276524.1	2.82e-4
ALMS1-IT1	ENSG00000230002.2	2.85e-4
GRSF1	ENSG00000132463.13	2.94e-4
SMCO3	ENSG00000179256.2	3.00e-4
UBE2D2	ENSG00000131508.15	3.07e-4
AC006273.5	ENSG00000267530.2	3.43e-4
AC068580.6	ENSG00000235027.1	3.64e-4
COQ2	ENSG00000173085.13	3.81e-4
HCN2	ENSG00000099822.2	4.13e-4
GIPC2	ENSG00000137960.5	4.18e-4
FAM65A	ENSG00000039523.17	4.26e-4
RP11-834C11.7	ENSG00000250654.7	4.78e-4
CCBE1	ENSG00000183287.13	5.08e-4
HSPA1L	ENSG00000204390.9	5.40e-4
HOXC8	ENSG00000037965.5	5.49e-4
ZNF248	ENSG00000198105.11	5.50e-4
AC093616.4	ENSG00000234231.3	5.58e-4
EIF3J-AS1	ENSG00000179523.4	5.66e-4
KPNA2	ENSG00000182481.8	5.72e-4
ATOH1	ENSG00000172238.4	6.48e-4
MRPL37	ENSG00000116221.15	6.55e-4
RP11-88E10.5	ENSG00000274922.1	6.66e-4
LBX2-AS1	ENSG00000257702.3	6.66e-4
RRNAD1	ENSG00000143303.11	6.72e-4
CTD-2035E11.5	ENSG00000272144.1	6.72e-4
NAT2	ENSG00000156006.4	6.86e-4
CTB-25B13.12	ENSG00000267317.2	6.90e-4
CRLF1	ENSG00000006016.10	7.02e-4
RP11-496I9.1	ENSG00000254815.5	7.25e-4
CPT2	ENSG00000157184.5	7.29e-4
RP11-677M14.7	ENSG00000245498.6	7.40e-4
AC005154.8	ENSG00000226874.1	7.70e-4
TNNT2	ENSG00000118194.18	7.73e-4
OLFM2	ENSG00000105088.8	8.16e-4
BPI	ENSG00000101425.12	8.28e-4
DICER1-AS1	ENSG00000235706.7	8.47e-4
AGAP9	ENSG00000204172.11	8.55e-4
LBX2	ENSG00000179528.15	8.63e-4
TPM2	ENSG00000198467.13	8.66e-4
CLHC1	ENSG00000162994.15	8.71e-4
RP11-182J23.1	ENSG00000260070.1	8.75e-4
NIFK-AS1	ENSG00000236859.6	8.75e-4
HOOK1	ENSG00000134709.10	8.78e-4
MYCBP	ENSG00000214114.8	9.06e-4
AC012531.25	ENSG00000260597.1	9.12e-4
RP11-196G11.1	ENSG00000255439.6	9.28e-4
UQCRC1	ENSG00000010256.10	9.28e-4
RP11-325N19.3	ENSG00000246863.2	9.95e-4
RP11-598F7.4	ENSG00000249695.6	9.96e-4
RP11-563J2.2	ENSG00000215244.2	1.01e-3
BGLAP	ENSG00000242252.1	1.03e-3
PLAG1	ENSG00000181690.7	1.05e-3
EFNA2	ENSG00000099617.3	1.07e-3
AC004985.12	ENSG00000241057.1	1.10e-3
RP11-107N15.1	ENSG00000273209.1	1.16e-3
CTD-2575K13.6	ENSG00000268041.1	1.18e-3
CCDC154	ENSG00000197599.12	1.20e-3
CHMP7	ENSG00000147457.13	1.20e-3
RP11-46H11.12	ENSG00000236617.2	1.21e-3
KRT18P5	ENSG00000236670.1	1.22e-3
