Gene Symbol	Gene ID	P-Value (Survival os)
PEBP1P2	ENSG00000270532.1	1.85e-14
RP11-379F4.8	ENSG00000271778.1	3.42e-14
SOWAHB	ENSG00000186212.3	1.84e-13
CPT2	ENSG00000157184.5	1.92e-13
WDR72	ENSG00000166415.14	2.25e-13
DHRS12	ENSG00000102796.10	1.30e-12
TOLLIP	ENSG00000078902.15	1.44e-12
TPRG1L	ENSG00000158109.14	1.59e-12
BAG1	ENSG00000107262.16	3.58e-12
SLC1A1	ENSG00000106688.11	5.68e-12
DDAH1	ENSG00000153904.18	7.01e-12
DMGDH	ENSG00000132837.14	7.59e-12
C1orf210	ENSG00000253313.5	7.72e-12
IL20RB	ENSG00000174564.12	7.83e-12
FBXO3	ENSG00000110429.13	1.17e-11
FZD1	ENSG00000157240.3	1.48e-11
PAIP2B	ENSG00000124374.8	1.51e-11
CYP3A7	ENSG00000160870.12	1.72e-11
CRB3	ENSG00000130545.15	1.80e-11
KL	ENSG00000133116.7	1.87e-11
MPP7	ENSG00000150054.18	2.05e-11
GIPC2	ENSG00000137960.5	2.07e-11
TMEM38B	ENSG00000095209.11	2.09e-11
SORBS2	ENSG00000154556.17	2.59e-11
RP11-343C2.11	ENSG00000260914.3	2.72e-11
NDUFB6	ENSG00000165264.10	3.37e-11
PANK1	ENSG00000152782.16	3.41e-11
SLC16A12	ENSG00000152779.13	3.52e-11
BBOX1	ENSG00000129151.8	4.23e-11
RETSAT	ENSG00000042445.13	4.25e-11
HNMT	ENSG00000150540.13	4.25e-11
RP11-407N17.3	ENSG00000258941.3	4.59e-11
DMRTA1	ENSG00000176399.3	5.41e-11
ANK3	ENSG00000151150.20	5.66e-11
CRYL1	ENSG00000165475.13	5.94e-11
C11orf54	ENSG00000182919.14	7.17e-11
G6PC	ENSG00000131482.9	7.58e-11
SPATA18	ENSG00000163071.10	7.82e-11
SOX6	ENSG00000110693.15	8.75e-11
RP11-416A14.1	ENSG00000270040.1	8.91e-11
HIBCH	ENSG00000198130.14	9.55e-11
GALK2	ENSG00000156958.14	1.02e-10
MRPL49	ENSG00000149792.8	1.04e-10
COL7A1	ENSG00000114270.15	1.21e-10
TLN2	ENSG00000171914.14	1.25e-10
NCR3LG1	ENSG00000188211.8	1.46e-10
TMEM126B	ENSG00000171204.12	1.50e-10
SNX30	ENSG00000148158.16	1.50e-10
MOB3B	ENSG00000120162.9	1.58e-10
ACADM	ENSG00000117054.13	1.76e-10
PAFAH2	ENSG00000158006.13	1.79e-10
ALDH6A1	ENSG00000119711.12	1.81e-10
ASTN2	ENSG00000148219.16	1.82e-10
SAMM50	ENSG00000100347.14	1.94e-10
ZNF658	ENSG00000274349.4	2.13e-10
HS1BP3	ENSG00000118960.12	2.32e-10
RP11-626G11.3	ENSG00000261759.1	2.44e-10
CYP3A4	ENSG00000160868.14	2.51e-10
ENPP5	ENSG00000112796.9	2.61e-10
SH3BGRL2	ENSG00000198478.7	2.63e-10
ATP6V1G1	ENSG00000136888.6	2.66e-10
RP11-89H19.2	ENSG00000278385.1	2.71e-10
PIGV	ENSG00000060642.10	2.81e-10
PAQR5	ENSG00000137819.13	2.97e-10
EPB41L4A-AS2	ENSG00000278921.2	3.19e-10
DMXL1	ENSG00000172869.14	3.20e-10
AQP1	ENSG00000240583.10	3.71e-10
AKTIP	ENSG00000166971.16	3.85e-10
RP4-635A23.6	ENSG00000279838.1	3.86e-10
AFG3L2	ENSG00000141385.9	3.90e-10
C9orf156	ENSG00000136932.13	3.90e-10
FNIP2	ENSG00000052795.12	4.09e-10
IQGAP2	ENSG00000145703.15	4.34e-10
SAA2	ENSG00000134339.8	4.46e-10
NBR1	ENSG00000188554.13	4.62e-10
PLEKHF2	ENSG00000175895.3	4.69e-10
AUH	ENSG00000148090.11	4.85e-10
TAL2	ENSG00000186051.6	4.87e-10
SLC2A9	ENSG00000109667.11	5.27e-10
OTX1	ENSG00000115507.9	6.24e-10
RSG1	ENSG00000132881.11	6.30e-10
ESD	ENSG00000139684.13	6.37e-10
ILVBL	ENSG00000105135.15	6.41e-10
SGCB	ENSG00000163069.12	6.49e-10
DLX4	ENSG00000108813.10	6.56e-10
RP11-2E11.9	ENSG00000270953.1	6.58e-10
MYO6	ENSG00000196586.13	6.85e-10
FREM2	ENSG00000150893.10	7.25e-10
DMRT3	ENSG00000064218.4	7.46e-10
RP11-16E12.2	ENSG00000259772.6	7.71e-10
DENND1C	ENSG00000205744.9	8.10e-10
IGBP1	ENSG00000089289.15	8.19e-10
CCDC121	ENSG00000176714.9	8.73e-10
MRPS18B	ENSG00000204568.11	8.84e-10
EZR	ENSG00000092820.17	9.13e-10
DCST2	ENSG00000163354.14	9.35e-10
F2RL1	ENSG00000164251.4	9.93e-10
MRPL50	ENSG00000136897.7	1.06e-9
FAHD1	ENSG00000180185.11	1.08e-9
KIF13B	ENSG00000197892.12	1.10e-9
LAMTOR3	ENSG00000109270.12	1.15e-9
SALL1	ENSG00000103449.11	1.21e-9
KIAA1191	ENSG00000122203.14	1.22e-9
ATP6V1C2	ENSG00000143882.9	1.26e-9
TMEM27	ENSG00000147003.5	1.35e-9
HADHB	ENSG00000138029.13	1.36e-9
PLCL2	ENSG00000154822.15	1.37e-9
SNX2	ENSG00000205302.6	1.38e-9
MUT	ENSG00000146085.7	1.41e-9
EIF4EBP2	ENSG00000148730.6	1.41e-9
LRBA	ENSG00000198589.10	1.46e-9
TRPM3	ENSG00000083067.22	1.48e-9
DPP4	ENSG00000197635.9	1.51e-9
CDC14B	ENSG00000081377.16	1.52e-9
CDS1	ENSG00000163624.5	1.54e-9
SLC25A4	ENSG00000151729.10	1.61e-9
ARHGAP10	ENSG00000071205.11	1.61e-9
RP11-49I11.1	ENSG00000260552.1	1.64e-9
KCNJ15	ENSG00000157551.17	1.69e-9
FLRT3	ENSG00000125848.9	1.70e-9
GBA3	ENSG00000249948.6	1.72e-9
SEPP1	ENSG00000250722.5	1.75e-9
RAB3IP	ENSG00000127328.21	1.76e-9
ZC3H12C	ENSG00000149289.10	1.77e-9
SLC22A4	ENSG00000197208.5	1.77e-9
MTURN	ENSG00000180354.15	1.81e-9
ELOVL7	ENSG00000164181.13	1.82e-9
TOB2	ENSG00000183864.4	1.89e-9
CHMP5	ENSG00000086065.13	1.90e-9
MAP7	ENSG00000135525.18	1.95e-9
EMCN	ENSG00000164035.9	1.98e-9
EBAG9	ENSG00000147654.14	1.98e-9
WDR31	ENSG00000148225.15	2.00e-9
IRF6	ENSG00000117595.10	2.14e-9
VWA8	ENSG00000102763.15	2.20e-9
SUCLA2	ENSG00000136143.13	2.32e-9
ACAA2	ENSG00000167315.17	2.36e-9
RP11-15H20.6	ENSG00000213971.7	2.37e-9
RP11-152H18.3	ENSG00000254665.1	2.44e-9
SIK2	ENSG00000170145.4	2.60e-9
LRP2	ENSG00000081479.12	2.70e-9
TMBIM1	ENSG00000135926.12	2.77e-9
