Gene Symbol	Gene ID	P-Value (Survival os)
RP11-103H7.5	ENSG00000254010.1	6.51e-5
INGX	ENSG00000243468.5	2.46e-4
ZNF586	ENSG00000083828.15	2.61e-4
CFAP52	ENSG00000166596.14	3.84e-4
KIAA1919	ENSG00000173214.5	5.92e-4
IGBP1-AS1	ENSG00000203588.3	6.21e-4
CDC42P5	ENSG00000253439.1	6.28e-4
DNAJC28	ENSG00000177692.11	6.70e-4
UGDH-AS1	ENSG00000249348.1	7.05e-4
AC002066.1	ENSG00000237813.3	1.02e-3
AC087501.1	ENSG00000225751.2	1.12e-3
RN7SL144P	ENSG00000242559.3	1.20e-3
KANTR	ENSG00000232593.6	1.20e-3
MT1E	ENSG00000169715.14	1.30e-3
ERVV-1	ENSG00000269526.1	1.32e-3
PDCD5P1	ENSG00000255909.1	1.39e-3
ZCWPW1	ENSG00000078487.17	1.39e-3
UBE2B	ENSG00000119048.7	1.44e-3
ATP6V0D2	ENSG00000147614.3	1.61e-3
NYAP1	ENSG00000166924.8	1.63e-3
UCHL3	ENSG00000118939.17	1.72e-3
EFNA1	ENSG00000169242.11	1.77e-3
GS1-421I3.5	ENSG00000277663.1	1.83e-3
AC004383.3	ENSG00000226107.1	1.88e-3
CTD-2319I12.2	ENSG00000267416.1	1.88e-3
HNRNPMP1	ENSG00000259335.1	1.91e-3
FAM189A2	ENSG00000135063.17	1.94e-3
TOM1L2	ENSG00000175662.17	1.95e-3
ACTN3	ENSG00000248746.5	2.16e-3
RP11-552F3.9	ENSG00000267801.1	2.21e-3
IGBP1	ENSG00000089289.15	2.34e-3
EVA1C	ENSG00000166979.12	2.38e-3
AC005776.1	ENSG00000270802.2	2.45e-3
APOOL	ENSG00000155008.13	2.45e-3
LAMP2	ENSG00000005893.15	2.47e-3
COL25A1	ENSG00000188517.14	2.53e-3
MCTS1	ENSG00000232119.7	2.54e-3
TERT	ENSG00000164362.18	2.56e-3
SLC25A1P1	ENSG00000254479.1	2.59e-3
MS4A15	ENSG00000166961.14	2.65e-3
GNL3L	ENSG00000130119.15	2.77e-3
CTA-351J1.1	ENSG00000226624.1	2.78e-3
TSPYL6	ENSG00000178021.10	2.79e-3
RBBP7	ENSG00000102054.17	2.85e-3
CTA-221G9.10	ENSG00000271181.1	2.91e-3
RP11-244H3.4	ENSG00000271741.1	2.98e-3
RP11-137H2.4	ENSG00000226659.1	3.16e-3
RP11-473O4.3	ENSG00000253720.1	3.20e-3
OVOL1	ENSG00000172818.9	3.22e-3
RP11-848P1.3	ENSG00000265743.1	3.24e-3
RNVU1-4	ENSG00000277610.1	3.33e-3
CTC-459M5.1	ENSG00000250882.1	3.54e-3
STK16	ENSG00000115661.13	3.61e-3
PKD2L1	ENSG00000107593.16	3.65e-3
SP140L	ENSG00000185404.16	3.66e-3
RP3-473L9.4	ENSG00000257595.2	3.71e-3
CCBL2	ENSG00000137944.16	3.73e-3
B3GNT2	ENSG00000170340.10	3.75e-3
ERO1LB	ENSG00000086619.13	4.06e-3
PBDC1	ENSG00000102390.10	4.27e-3
FTLP14	ENSG00000260459.2	4.27e-3
NKX6-1	ENSG00000163623.9	4.35e-3
PHF8	ENSG00000172943.18	4.38e-3
RN7SL364P	ENSG00000243560.3	4.40e-3
PMS2P1	ENSG00000078319.8	4.52e-3
RP3-368A4.6	ENSG00000271533.1	4.55e-3
RP5-851M4.1	ENSG00000277901.1	4.62e-3
AGAP3	ENSG00000133612.18	4.63e-3
RP11-480I12.9	ENSG00000243113.1	4.75e-3
RPL34-AS1	ENSG00000234492.4	4.82e-3
OXCT2	ENSG00000198754.5	4.90e-3
RP11-481A20.10	ENSG00000254507.2	4.96e-3
KCTD8	ENSG00000183783.6	5.03e-3
ASRGL1	ENSG00000162174.12	5.15e-3
DLK2	ENSG00000171462.14	5.30e-3
RP13-36G14.4	ENSG00000270223.1	5.35e-3
AXIN1	ENSG00000103126.14	5.38e-3
RP11-6B6.3	ENSG00000236942.1	5.39e-3
CLEC18A	ENSG00000157322.16	5.54e-3
NEURL1	ENSG00000107954.10	5.56e-3
RP11-311F12.2	ENSG00000264785.1	5.62e-3
LCNL1	ENSG00000214402.6	5.66e-3
U1	ENSG00000206828.1	5.69e-3
CXorf23	ENSG00000173681.16	5.72e-3
LARP1P1	ENSG00000217159.2	5.75e-3
PIGA	ENSG00000165195.13	5.83e-3
U1	ENSG00000274210.1	5.84e-3
TMEM74B	ENSG00000125895.5	5.94e-3
PPP2R4	ENSG00000119383.19	5.98e-3
IMPA1P	ENSG00000251521.2	6.00e-3
GCAT	ENSG00000100116.16	6.01e-3
TAF9B	ENSG00000187325.4	6.04e-3
CTAGE15	ENSG00000271079.1	6.10e-3
RP11-71H17.1	ENSG00000242199.1	6.11e-3
RP11-33N14.5	ENSG00000276292.1	6.14e-3
RP11-669N7.2	ENSG00000249196.6	6.17e-3
CTD-2033A16.2	ENSG00000260290.2	6.23e-3
RP11-575F12.3	ENSG00000278266.1	6.27e-3
AC093609.1	ENSG00000230587.1	6.31e-3
TJAP1	ENSG00000137221.14	6.40e-3
C19orf70	ENSG00000174917.8	6.40e-3
HPS4	ENSG00000100099.20	6.46e-3
RP11-1086F11.1	ENSG00000225300.1	6.51e-3
RP11-706O15.5	ENSG00000205663.5	6.51e-3
ZBTB7C	ENSG00000184828.9	6.51e-3
COX7B	ENSG00000131174.4	6.63e-3
HELB	ENSG00000127311.9	6.75e-3
CCNJL	ENSG00000135083.14	6.77e-3
RP1-184J9.2	ENSG00000240553.1	6.84e-3
WBSCR28	ENSG00000175877.3	6.86e-3
ZNF600	ENSG00000189190.8	6.89e-3
RP1-37E16.12	ENSG00000281932.1	6.91e-3
KRT18P16	ENSG00000235275.3	6.96e-3
TUBA3E	ENSG00000152086.8	6.98e-3
FAM114A1	ENSG00000197712.11	7.14e-3
MINOS1-NBL1	ENSG00000270136.5	7.23e-3
SIRPA	ENSG00000198053.11	7.24e-3
ARL5B	ENSG00000165997.4	7.24e-3
RP11-193I22.2	ENSG00000229339.1	7.28e-3
SLC25A5	ENSG00000005022.5	7.44e-3
NBL1	ENSG00000158747.13	7.59e-3
RP11-480I12.5	ENSG00000214796.8	7.60e-3
ACTR1B	ENSG00000115073.7	7.63e-3
F3	ENSG00000117525.13	7.68e-3
SPSB3	ENSG00000162032.15	7.70e-3
RP11-540O11.1	ENSG00000251161.3	7.79e-3
RP11-103C16.2	ENSG00000227945.1	7.84e-3
GRPEL2	ENSG00000164284.14	7.84e-3
RN7SL648P	ENSG00000265727.2	7.86e-3
RP4-717I23.3	ENSG00000223745.7	7.90e-3
RP11-306O13.1	ENSG00000213121.2	7.96e-3
RP11-909N17.2	ENSG00000253931.1	7.96e-3
CTD-2270P14.5	ENSG00000276791.1	8.02e-3
KCP	ENSG00000135253.13	8.06e-3
AKAP3	ENSG00000111254.7	8.08e-3
PICK1	ENSG00000100151.15	8.34e-3
NMBR	ENSG00000135577.4	8.43e-3
OSTCP5	ENSG00000234315.1	8.61e-3
MYO3A	ENSG00000095777.14	8.62e-3
PLCE1-AS2	ENSG00000232913.7	8.70e-3
ZFYVE21	ENSG00000100711.13	8.85e-3
GPER1	ENSG00000164850.14	8.94e-3
ATF3	ENSG00000162772.16	8.98e-3
RP11-585P4.5	ENSG00000257497.2	9.16e-3
LINC00161	ENSG00000226935.6	9.28e-3
PHYHIP	ENSG00000168490.13	9.31e-3
AMD1P1	ENSG00000228339.1	9.31e-3
RING1	ENSG00000204227.4	9.42e-3
HSPE1P4	ENSG00000258153.1	9.42e-3
GLI2	ENSG00000074047.20	9.47e-3
IMMP1LP1	ENSG00000270269.1	9.58e-3
ISX	ENSG00000175329.12	9.62e-3
PIN4	ENSG00000102309.12	9.72e-3
SNX19	ENSG00000120451.10	9.73e-3
RP11-360L9.4	ENSG00000253133.1	9.76e-3
RBMXP2	ENSG00000215210.3	9.79e-3
CFAP97	ENSG00000164323.12	9.82e-3
RP11-128N14.4	ENSG00000276704.1	9.83e-3
NOTUM	ENSG00000185269.11	9.91e-3
GPR82	ENSG00000171657.5	1.00e-2
RP11-51F16.1	ENSG00000279369.1	1.00e-2
SHANK2-AS3	ENSG00000171671.6	1.01e-2
AC003104.1	ENSG00000236194.3	1.01e-2
MAFA	ENSG00000182759.3	1.01e-2
LTA	ENSG00000226979.8	1.02e-2
ZNF165	ENSG00000197279.3	1.03e-2
AC012363.10	ENSG00000243104.1	1.04e-2
NUDT18	ENSG00000275074.1	1.04e-2
RP11-326K13.4	ENSG00000263823.1	1.05e-2
CTD-2015B23.2	ENSG00000226432.3	1.06e-2
OLIG1	ENSG00000184221.12	1.06e-2
KRI1	ENSG00000129347.19	1.06e-2
RP11-64K7.1	ENSG00000240854.1	1.06e-2
AP000696.2	ENSG00000231324.1	1.06e-2
PADI4	ENSG00000159339.13	1.07e-2
BRWD1-IT1	ENSG00000237373.1	1.07e-2
FAM46A	ENSG00000112773.15	1.10e-2
THBS3	ENSG00000169231.13	1.11e-2
BCAP31	ENSG00000185825.15	1.12e-2
STRADA	ENSG00000266173.5	1.12e-2
FAM8A1	ENSG00000137414.5	1.13e-2
NDFIP1	ENSG00000131507.10	1.14e-2
TRMT112P6	ENSG00000268412.2	1.14e-2
LINC00614	ENSG00000236983.1	1.14e-2
YAP1	ENSG00000137693.13	1.14e-2
PSMA2	ENSG00000106588.10	1.17e-2
HLA-DQB1-AS1	ENSG00000223534.1	1.18e-2
SRXN1	ENSG00000271303.1	1.19e-2
AC053503.4	ENSG00000229525.1	1.19e-2
ZG16	ENSG00000174992.7	1.19e-2
RP11-199F11.2	ENSG00000262251.1	1.19e-2
CYCSP2	ENSG00000259547.1	1.19e-2
ZRSR1	ENSG00000212643.2	1.20e-2
