Gene Symbol	Gene ID	P-Value (Survival os)
VRK1	ENSG00000100749.7	2.60e-5
PARVA	ENSG00000197702.11	2.89e-5
PCDHGA11	ENSG00000253873.5	3.49e-5
TRIM58	ENSG00000162722.8	3.53e-5
RP11-196I18.3	ENSG00000225531.1	4.12e-5
PAPPA	ENSG00000182752.9	4.93e-5
HIGD1B	ENSG00000131097.6	1.50e-4
RP11-47A8.5	ENSG00000272933.1	1.68e-4
SNAI1	ENSG00000124216.3	1.91e-4
SMAD5-AS1_1	ENSG00000277859.1	2.08e-4
RP11-47G11.2	ENSG00000232334.1	2.11e-4
PCDHGA12	ENSG00000253159.2	2.15e-4
AP5S1	ENSG00000125843.10	2.19e-4
ISM2	ENSG00000100593.17	2.47e-4
CD151	ENSG00000177697.17	2.55e-4
OR2W3	ENSG00000238243.3	2.59e-4
CLEC4M	ENSG00000104938.16	2.62e-4
ELANE	ENSG00000197561.6	2.73e-4
RP11-248M19.1	ENSG00000278075.1	2.84e-4
FAM65A	ENSG00000039523.17	3.02e-4
RP11-535M15.1	ENSG00000224848.1	3.16e-4
RP11-392P7.6	ENSG00000247498.9	3.46e-4
ACVRL1	ENSG00000139567.12	3.48e-4
MBNL2	ENSG00000139793.18	3.55e-4
HORMAD2-AS1	ENSG00000227117.6	3.79e-4
HELLS	ENSG00000119969.14	3.81e-4
NEK6	ENSG00000119408.16	4.08e-4
RP11-102M11.1	ENSG00000240695.1	4.64e-4
CD14	ENSG00000170458.13	5.16e-4
ST6GALNAC4	ENSG00000136840.18	5.16e-4
PCDH1	ENSG00000156453.13	5.36e-4
ZDHHC7	ENSG00000153786.12	5.44e-4
SGCA	ENSG00000108823.15	5.50e-4
TCF21	ENSG00000118526.6	5.53e-4
SAMD11	ENSG00000187634.10	5.60e-4
SLC9A9	ENSG00000181804.14	5.79e-4
TMEM8A	ENSG00000129925.10	5.88e-4
PTX3	ENSG00000163661.3	5.94e-4
FOXD4L4	ENSG00000184659.5	6.54e-4
MYL3	ENSG00000160808.9	6.70e-4
KRT42P	ENSG00000214514.7	6.82e-4
C11orf96	ENSG00000187479.5	7.13e-4
ERH	ENSG00000100632.10	7.72e-4
RNF103-CHMP3	ENSG00000249884.8	7.84e-4
RP11-74C1.2	ENSG00000223861.1	7.92e-4
SOD3	ENSG00000109610.5	8.10e-4
FOXD1-AS1	ENSG00000247993.2	8.27e-4
TRIM55	ENSG00000147573.16	8.34e-4
ADAMTS17	ENSG00000140470.13	8.46e-4
SBK3	ENSG00000231274.5	8.47e-4
ZNF835	ENSG00000127903.13	8.49e-4
ANK2	ENSG00000145362.16	8.76e-4
KB-226F1.2	ENSG00000272787.1	8.83e-4
FNDC3A	ENSG00000102531.16	8.97e-4
PRKCDBP	ENSG00000170955.9	9.26e-4
HSPB7	ENSG00000173641.17	9.31e-4
CTD-2541J13.2	ENSG00000263424.1	9.56e-4
CRACR2B	ENSG00000177685.16	9.60e-4
XXbac-BPG116M5.17	ENSG00000244255.5	9.71e-4
RP11-546O6.4	ENSG00000260677.1	9.74e-4
RP11-468E2.1	ENSG00000254692.1	9.78e-4
AGPAT3	ENSG00000160216.18	1.02e-3
ALDH7A1	ENSG00000164904.15	1.05e-3
MSR1	ENSG00000038945.14	1.06e-3
KCTD1	ENSG00000134504.12	1.10e-3
RP11-146F11.1	ENSG00000261840.2	1.11e-3
LONRF3	ENSG00000175556.16	1.13e-3
ACTA2	ENSG00000107796.12	1.15e-3
PCDH12	ENSG00000113555.5	1.16e-3
AD000864.6	ENSG00000280194.1	1.20e-3
TNFSF12	ENSG00000239697.10	1.23e-3
RP11-298I3.5	ENSG00000259132.1	1.25e-3
RP11-973D8.5	ENSG00000273973.1	1.28e-3
TEX21P	ENSG00000234911.1	1.29e-3
RP11-317L10.1	ENSG00000272554.1	1.29e-3
HRASLS	ENSG00000127252.5	1.33e-3
GADD45B	ENSG00000099860.8	1.34e-3
MT1L	ENSG00000260549.1	1.35e-3
RP11-543P15.1	ENSG00000227081.5	1.36e-3
PKNOX2	ENSG00000165495.15	1.38e-3
RP11-153M7.3	ENSG00000250771.2	1.39e-3
AC234582.1	ENSG00000279487.1	1.41e-3
PXN	ENSG00000089159.15	1.43e-3
PSMF1	ENSG00000125818.17	1.45e-3
SNHG21	ENSG00000250988.7	1.50e-3
NT5E	ENSG00000135318.11	1.53e-3
ATP5L	ENSG00000167283.7	1.53e-3
ELMO3	ENSG00000102890.14	1.56e-3
EMCN	ENSG00000164035.9	1.56e-3
RP11-613M5.2	ENSG00000243071.1	1.57e-3
GOLGA8J	ENSG00000179938.12	1.59e-3
SEC23B	ENSG00000101310.14	1.61e-3
CLEC11A	ENSG00000105472.12	1.64e-3
USP39	ENSG00000168883.19	1.65e-3
CCDC73	ENSG00000186714.12	1.66e-3
ITIH3	ENSG00000162267.12	1.67e-3
TMEM231	ENSG00000205084.10	1.67e-3
CLDN5	ENSG00000184113.9	1.68e-3
GMPSP1	ENSG00000250471.2	1.69e-3
PAX9	ENSG00000198807.12	1.71e-3
SERPIND1	ENSG00000099937.10	1.71e-3
C11orf45	ENSG00000174370.9	1.74e-3
LNP1	ENSG00000206535.7	1.75e-3
APBB2	ENSG00000163697.16	1.76e-3
ANKRD18CP	ENSG00000159712.10	1.77e-3
FES	ENSG00000182511.11	1.77e-3
SYNJ2BP-COX16	ENSG00000258644.5	1.78e-3
MGRN1	ENSG00000102858.12	1.79e-3
MACROD2	ENSG00000172264.16	1.80e-3
RP11-60H5.1	ENSG00000260840.1	1.89e-3
CHMP4C	ENSG00000164695.4	1.92e-3
VAV2	ENSG00000160293.16	1.94e-3
DCDC2	ENSG00000146038.11	1.95e-3
AC084809.3	ENSG00000236377.1	2.00e-3
PYGB	ENSG00000100994.11	2.10e-3
MEF2B	ENSG00000213999.15	2.11e-3
RP5-998N21.10	ENSG00000273213.1	2.13e-3
MEGF11	ENSG00000157890.17	2.14e-3
B3GNT7	ENSG00000156966.6	2.15e-3
AC007326.1	ENSG00000279560.1	2.22e-3
PDLIM3	ENSG00000154553.13	2.23e-3
LGI2	ENSG00000153012.11	2.25e-3
RP11-547D13.1	ENSG00000279145.1	2.29e-3
F10	ENSG00000126218.11	2.34e-3
PITX3	ENSG00000107859.9	2.34e-3
RP11-1046B16.3	ENSG00000273797.1	2.41e-3
RP11-36C20.1	ENSG00000240376.1	2.43e-3
RP11-125H8.1	ENSG00000258988.1	2.43e-3
RP11-386G11.10	ENSG00000258017.1	2.43e-3
CHMP2B	ENSG00000083937.8	2.46e-3
SLC38A8	ENSG00000166558.10	2.49e-3
JPH1	ENSG00000104369.4	2.50e-3
SPATA6	ENSG00000132122.11	2.51e-3
CTC-459F4.9	ENSG00000281468.1	2.52e-3
FAM46A	ENSG00000112773.15	2.52e-3
HLA-H	ENSG00000206341.7	2.53e-3
C9orf66	ENSG00000183784.6	2.53e-3
TRIM22	ENSG00000132274.15	2.59e-3
FCN3	ENSG00000142748.12	2.59e-3
VPS28	ENSG00000160948.13	2.62e-3
PTBP3	ENSG00000119314.15	2.62e-3
SAMD14	ENSG00000167100.14	2.62e-3
IRS4	ENSG00000133124.11	2.63e-3
NPNT	ENSG00000168743.12	2.64e-3
RPS4XP22	ENSG00000239830.1	2.68e-3
KCNIP2-AS1	ENSG00000226009.1	2.68e-3
LRPAP1	ENSG00000163956.10	2.70e-3
UNC5A	ENSG00000113763.10	2.74e-3
RP11-428K3.1	ENSG00000273062.1	2.75e-3
ONECUT3	ENSG00000205922.4	2.78e-3
SNRPEP4	ENSG00000233270.1	2.79e-3
PTGIR	ENSG00000160013.8	2.79e-3
AC104532.4	ENSG00000267571.1	2.81e-3
TIMM8AP1	ENSG00000231445.1	2.83e-3
OPCML	ENSG00000183715.13	2.84e-3
CNTNAP4	ENSG00000152910.18	2.84e-3
TLDC1	ENSG00000140950.15	2.86e-3
FLT4	ENSG00000037280.15	2.88e-3
RP11-67C2.2	ENSG00000231964.1	2.93e-3
HDAC11	ENSG00000163517.14	3.00e-3
NDUFA6	ENSG00000184983.9	3.03e-3
FGF8	ENSG00000107831.12	3.03e-3
CD163L1	ENSG00000177675.8	3.05e-3
MAST4-AS1	ENSG00000229666.1	3.05e-3
TIMM8B	ENSG00000150779.11	3.07e-3
TRIM5	ENSG00000132256.18	3.18e-3
ITGA3	ENSG00000005884.17	3.20e-3
PGA3	ENSG00000229859.8	3.20e-3
ARMCX7P	ENSG00000204072.3	3.21e-3
RPL3P4	ENSG00000232573.1	3.23e-3
HTR2B	ENSG00000135914.5	3.25e-3
NPM1P21	ENSG00000248578.1	3.26e-3
ZNF876P	ENSG00000198155.5	3.31e-3
RP11-173C1.1	ENSG00000269210.2	3.34e-3
MEIS3P1	ENSG00000179277.9	3.34e-3
ZNF589	ENSG00000164048.13	3.36e-3
PDE1B	ENSG00000123360.11	3.36e-3
CEP295NL	ENSG00000178404.9	3.37e-3
PCDHGA10	ENSG00000253846.2	3.39e-3
SHPK	ENSG00000197417.7	3.40e-3
RP11-778D9.13	ENSG00000273181.1	3.44e-3
RP11-76C10.5	ENSG00000256151.1	3.46e-3
ZER1	ENSG00000160445.10	3.49e-3
BMP5	ENSG00000112175.7	3.50e-3
STAP1	ENSG00000035720.7	3.51e-3
MYL2	ENSG00000111245.14	3.52e-3
ZNF415	ENSG00000170954.11	3.53e-3
ABCC9	ENSG00000069431.10	3.53e-3
CCDC68	ENSG00000166510.13	3.54e-3
PHF5A	ENSG00000100410.7	3.54e-3
DUSP18	ENSG00000167065.13	3.61e-3
PCDHGB5	ENSG00000276547.1	3.64e-3
RNF8	ENSG00000112130.16	3.65e-3
CD47	ENSG00000196776.14	3.66e-3
MDH1	ENSG00000014641.17	3.72e-3
FAM196B	ENSG00000204767.3	3.73e-3
AAED1	ENSG00000158122.11	3.77e-3
ASF1B	ENSG00000105011.8	3.78e-3
CYBA	ENSG00000051523.10	3.79e-3
RP11-95M15.1	ENSG00000230533.1	3.85e-3
CCDC51	ENSG00000164051.13	3.87e-3
RXRA	ENSG00000186350.9	3.87e-3
CADM3	ENSG00000162706.12	3.90e-3
MYO1G	ENSG00000136286.14	3.94e-3
AC133528.2	ENSG00000228989.1	3.95e-3
THBS1	ENSG00000137801.10	3.97e-3
KIF16B	ENSG00000089177.17	3.97e-3
AOC3	ENSG00000131471.6	3.98e-3
HOXD-AS2	ENSG00000237380.6	4.00e-3
MAGI2-AS3	ENSG00000234456.7	4.01e-3
PCDHA2	ENSG00000204969.6	4.03e-3
PON2	ENSG00000105854.12	4.04e-3
GPIHBP1	ENSG00000277494.1	4.10e-3
CITED2	ENSG00000164442.9	4.13e-3
SERPINE1	ENSG00000106366.8	4.18e-3
RP11-466H18.1	ENSG00000244398.1	4.21e-3
AC055733.1	ENSG00000280127.1	4.30e-3
LOXL2	ENSG00000134013.15	4.37e-3
MYADM	ENSG00000179820.15	4.39e-3
C7orf55	ENSG00000164898.12	4.42e-3
PDLIM1P4	ENSG00000249274.1	4.42e-3
RP11-204M4.2	ENSG00000204837.3	4.43e-3
ZNF727	ENSG00000214652.5	4.43e-3
LDAH	ENSG00000118961.14	4.46e-3
VDR	ENSG00000111424.10	4.46e-3
ZNF423	ENSG00000102935.11	4.50e-3
PDE1A	ENSG00000115252.18	4.60e-3
FSTL3	ENSG00000070404.9	4.60e-3
FAM46B	ENSG00000158246.7	4.62e-3
APOL6	ENSG00000221963.5	4.63e-3
FAM103A1	ENSG00000169612.3	4.64e-3
PTPRU	ENSG00000060656.19	4.64e-3
ZFP36L2	ENSG00000152518.6	4.65e-3
GGTLC1	ENSG00000149435.12	4.70e-3
